dataset.id,site.id,site.name,depth,min,max,median,mean
14547,9814,Alpine Pond,0,-58,-25,-42,-42
14547,9814,Alpine Pond,10,-35,268,45,64
14547,9814,Alpine Pond,15,-31,424,88,117
14547,9814,Alpine Pond,20,-27,578,131,170
14547,9814,Alpine Pond,25,3,628,188,223
14547,9814,Alpine Pond,30,23,701,245,275
14547,9814,Alpine Pond,35,37,797,297,328
14547,9814,Alpine Pond,40,50,907,347,381
14547,9814,Alpine Pond,45,94,951,405,435
14547,9814,Alpine Pond,50,126,1002,465,488
14547,9814,Alpine Pond,55,147,1084,518,542
14547,9814,Alpine Pond,60,161,1190,571,595
14517,9814,Alpine Pond,40,50,907,347,381
14517,9814,Alpine Pond,50,126,1002,465,488
14517,9814,Alpine Pond,61,176,1200,579,606
14517,9814,Alpine Pond,70,250,1278,679,699
14517,9814,Alpine Pond,80,302,1435,782,803
14517,9814,Alpine Pond,90,408,1506,889,907
14517,9814,Alpine Pond,100,476,1657,997,1011
14517,9814,Alpine Pond,110,584,1738,1103,1118
14517,9814,Alpine Pond,120,641,1872,1211,1225
14517,9814,Alpine Pond,130,747,1936,1323,1329
14517,9814,Alpine Pond,140,822,2070,1426,1434
14517,9814,Alpine Pond,150,945,2159,1537,1539
14517,9814,Alpine Pond,160,1027,2274,1645,1645
14517,9814,Alpine Pond,170,1146,2356,1754,1753
14517,9814,Alpine Pond,180,1227,2476,1859,1860
14517,9814,Alpine Pond,190,1353,2538,1966,1963
14517,9814,Alpine Pond,200,1428,2623,2069,2065
14517,9814,Alpine Pond,210,1585,2708,2179,2172
14517,9814,Alpine Pond,220,1675,2809,2287,2278
14517,9814,Alpine Pond,230,1845,2882,2389,2383
14517,9814,Alpine Pond,240,1957,2985,2495,2488
14517,9814,Alpine Pond,250,2149,3045,2593,2591
14517,9814,Alpine Pond,260,2266,3130,2708,2694
14517,9814,Alpine Pond,270,2356,3279,2797,2794
14517,9814,Alpine Pond,280,2410,3494,2878,2894
14517,9814,Alpine Pond,290,2480,3621,2983,2997
