FileName,site.name,site.id,dataset.id
alpinepond,Alpine Pond,9814,14547
bearlake,Bear Lake,10000,14951
beefpasture,Beef Pasture,246,250
beefpasture2005,Beef Pasture,246,25551
cascadefen,Cascade Fen [Engineer Mountain Bog],339,347
chihuahuenÌƒosbog,Chihuahue–os Bog,13680,20833
columbineranchfen,Columbine Ranch Fen,486,498
comolake,Como Lake,2957,3056
cranelake,Crane Lake,504,517
cumbresbog,Cumbres Bog,11617,17419
fracaslake,Fracas Lake,9997,14944
haylake,Hay Lake,982,1013
headlake,Head Lake,2955,3054
hermitlake,Hermit Lake,23930,41580
hospitalflatmeadow,Hospital Flat Meadow,26738,46801
hunterslake,Hunters Lake,13486,20304
jacoblake,Jacob Lake,1127,1162
lakeemma,Lake Emma,10061,15106
leonoracurtin,Leonora Curtin,14632,22948
lowdercreekbog,Lowder Creek Bog,9830,14549
molaslake,Molas Lake,1705,1761
molaspassbog,Molas Pass Bog,1706,1762
montezumawell,Montezuma Well,1710,1766
posylake,Posy Lake,1905,1970
potatolake1,Potato Lake,1906,3560
potatolake2,Potato Lake,1906,3561
purplelake,Purple Lake,13683,20838
sanagustinplains,San Agustin Plains,2260,3612
sanluislake,San Luis Lake,9878,14650
soldiercreekmeadow,Soldier Creek Meadow,24232,42645
stewartbog,Stewart Bog,10191,15356
stonemanlake,Stoneman Lake,10449,15967
twinlakes,Twin Lakes,2785,2880
