depth	min	max	median	mean
0	-58	-25	-42	-42
10	-35	268	45	64
15	-31	424	88	117
20	-27	578	131	170
25	3	628	188	223
30	23	701	245	275
35	37	797	297	328
40	50	907	347	381
45	94	951	405	435
50	126	1002	465	488
55	147	1084	518	542
60	161	1190	571	595
61	176	1200	579	606
70	250	1278	679	699
80	302	1435	782	803
90	408	1506	889	907
100	476	1657	997	1011
110	584	1738	1103	1118
120	641	1872	1211	1225
130	747	1936	1323	1329
140	822	2070	1426	1434
150	945	2159	1537	1539
160	1027	2274	1645	1645
170	1146	2356	1754	1753
180	1227	2476	1859	1860
190	1353	2538	1966	1963
200	1428	2623	2069	2065
210	1585	2708	2179	2172
220	1675	2809	2287	2278
230	1845	2882	2389	2383
240	1957	2985	2495	2488
250	2149	3045	2593	2591
260	2266	3130	2708	2694
270	2356	3279	2797	2794
280	2410	3494	2878	2894
290	2480	3621	2983	2997
