depth	min	max	median	mean
202	108	117	112	112
222	227	1639	NA	839
242	731	2493	NA	1590
262	1269	3201	NA	2306
282	1927	3718	2989	2940
292	2271	3962	3366	3305
312	2859	4351	4042	3965
332	3165	4715	4316	4252
372	3853	5291	4787	4745
381	3962	5404	4889	4851
401	4270	5667	5118	5091
421	4553	5919	5363	5338
441	4842	6143	5598	5576
461	5117	6356	5830	5811
471	5236	6487	5947	5929
491	5531	6694	6188	6168
511	5829	6894	6435	6413
531	6117	7098	6671	6652
551	6416	7292	6904	6891
556	6499	7349	6968	6954
565	6649	7444	7070	7058
585	6945	7609	7289	7286
595	7134	7694	7408	7405
605	7367	7805	7526	7535
615	7506	8251	7743	7777
625	7652	8684	8039	8077
645	8077	9350	8681	8689
660	8620	9720	9192	9190
680	9525	10138	9763	9781
700	9829	10889	10314	10329
720	10228	11560	10852	10865
755	11081	12464	11837	11815
775	11750	12851	12424	12385
795	12741	13126	12925	12925
804.5	12821	13176	12986	12987
804.50001	12821	13176	12986	12987
805	12822	13176	12986	12987
825	12861	13223	13027	13028
840	12895	13256	13060	13061
844	12903	13267	13069	13069
860	12936	13298	13102	13104
880	12981	13339	13145	13148
899	13025	13383	13186	13189
920	13071	13425	13231	13235
955	13157	13500	13308	13313
975	13199	13541	13352	13357
999	13253	13599	13403	13408
