"name","group","element","units","context","S134540","S134541","S134542","S134543","S134544","S134545","S134546","S134547","S134548","S134549","S134550","S134551","S134552","S134553","S134554","S134555","S134556","S134557","S134558","S134559","S134560","S134561","S134562","S134563","S134564","S134565","S134566","S134567","S134568","S134569","S134570","S134571","S134572","S134573","S134574","S134575","S134576","S134577","S134578","S134579","S134580","S134581","S134582","S134583","S134584"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,202,222,242,262,282,292,312,332,372,381,401,421,441,461,471,491,511,531,551,556,565,585,595,605,615,625,645,660,680,700,720,755,775,795,805,825,840,844,860,880,899,920,955,975,999
Thickness,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,134540,134541,134542,134543,134544,134545,134546,134547,134548,134549,134550,134551,134552,134553,134554,134555,134556,134557,134558,134559,134560,134561,134562,134563,134564,134565,134566,134567,134568,134569,134570,134571,134572,134573,134574,134575,134576,134577,134578,134579,134580,134581,134582,134583,134584
SKOPE,Calibrated radiocarbon years BP,,,,476/132/-38,1639/839/227,2493/1590/731,3201/2306/1269,3741/2997/1926,3994/3362/2281,4374/4006/2920,4749/4293/3247,5313/4762/3793,5431/4868/3930,5682/5104/4254,5913/5337/4561,6153/5575/4816,6389/5815/5081,6497/5931/5216,6707/6165/5483,6905/6400/5774,7101/6638/6079,7288/6874/6382,7334/6932/6440,7412/7037/6584,7583/7274/6903,7678/7394/7075,7787/7513/7314,8046/7719/7507,8540/7995/7632,9292/8634/8025,9696/9101/8476,10126/9721/9324,10795/10267/9865,11479/10797/10192,12381/11709/10969,12774/12231/11532,13060/12754/12257,13167/13019/12853,13207/13064/12899,13243/13098/12931,13253/13107/12941,13293/13144/12975,13340/13189/13017,13376/13231/13060,13421/13278/13107,13498/13356/13178,13539/13401/13222,13588/13455/13278
Weng & Jackson 1999,Calibrated radiocarbon years BP,,,,--/183/--,--/916/--,--/1648/--,--/2381/--,--/3113/--,--/3479/--,--/4212/--,--/4443/--,--/4879/--,--/4977/--,--/5195/--,--/5413/--,--/5631/--,--/5849/--,--/5958/--,--/6176/--,--/6395/--,--/6613/--,--/6831/--,--/6885/--,--/6983/--,--/7201/--,--/7311/--,--/7420/--,--/7717/--,--/8025/--,--/8639/--,--/9101/--,--/9716/--,--/10230/--,--/10743/--,--/11639/--,--/12151/--,--/12664/--,--/12908/--,--/12967/--,--/13011/--,--/13023/--,--/13070/--,--/13128/--,--/13184/--,--/13246/--,--/13349/--,--/13407/--,--/13478/--
Abies,TRSH,pollen,NISP,,12,14,12,13,6,18,5,8,3,1,6,1,3,2,7,3,2,3,1,,1,,5,1,1,,5,3,6,1,,3,20,,,,,4,,,1,1,2,3,3
Acer,TRSH,pollen,NISP,,,1,,2,,,1,,,21,,,,,,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,,1,
Alnus,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,1,,1
