depth	min	max	median	mean
0	-31	-13	-22	-22
0.5	-28	7	-16	-14
2.5	-24	114	5	16
4	-23	194	20	39
6	-15	261	48	69
8.5	-8	316	87	105
10.5	2	371	115	133
12.5	14	401	146	161
14.5	21	438	172	188
16.5	41	467	199	215
18	52	484	221	235
20	63	521	250	261
22	90	543	278	287
24	104	567	304	314
26	128	595	330	340
28	150	620	357	366
30	166	668	381	392
32	196	685	413	419
34	214	716	443	446
36	243	739	468	473
38	272	755	497	500
40	289	783	527	527
42	330	799	554	556
44	356	819	586	585
46	398	844	614	613
48	448	867	640	641
50	477	896	667	669
52	526	914	689	694
54	553	938	714	718
56	572	970	737	742
58	583	996	758	765
60	592	1028	779	787
62.5	615	1052	809	816
65	629	1099	836	844
67.5	657	1126	866	872
70	673	1164	892	900
75	722	1227	948	957
77.5	750	1249	976	986
80	765	1291	1006	1014
82.5	791	1320	1036	1042
85	815	1349	1064	1070
87.5	851	1373	1092	1098
90	873	1406	1123	1127
92.5	905	1432	1149	1155
95	926	1461	1178	1184
97.5	961	1490	1205	1212
100	984	1524	1235	1241
102.5	1019	1552	1264	1269
105	1038	1577	1295	1298
107.5	1087	1598	1321	1326
110	1114	1631	1348	1355
112.5	1163	1652	1375	1382
115	1184	1677	1402	1409
117.5	1230	1697	1428	1436
120	1264	1727	1454	1463
125	1331	1790	1516	1527
130	1385	1900	1591	1605
135	1435	1974	1660	1676
140	1479	2077	1735	1749
145	1529	2169	1817	1827
150	1597	2261	1897	1904
155	1659	2351	1980	1984
160	1722	2417	2050	2056
165	1794	2499	2140	2140
175	1937	2629	2290	2289
185	2092	2760	2446	2440
195	2262	2862	2606	2590
205	2435	2967	2765	2729
215	2565	3103	2858	2844
225	2677	3231	2959	2957
230	2748	3293	3006	3011
235	2819	3338	3063	3066
245	2956	3583	3228	3238
260	3187	3904	3559	3556
267	3370	4014	3714	3709
275	3567	4161	3887	3881
285	3777	4412	4098	4096
295	3962	4625	4309	4303
305	4150	4820	4493	4489
315	4277	5007	4611	4622
325	4415	5157	4725	4754
335	4553	5287	4816	4885
338	4643	5338	4904	4956
345	4819	5484	5113	5138
348	4893	5537	5187	5208
358	5042	5724	5417	5404
368	5204	5891	5603	5588
378	5336	6100	5749	5740
382	5372	6192	5799	5796
387	5425	6307	5861	5865
392	5471	6409	5929	5934
