depth	min	max	median	mean
0	-58	-52	-55	-55
4.5	-36	91	7	13
6.5	-19	127	40	44
8.5	0	161	73	75
10.5	22	191	107	106
12.5	45	217	140	137
14.5	63	242	172	166
16.5	86	264	202	194
18.5	113	285	235	225
20.5	141	324	264	256
22.5	174	370	292	288
24.5	219	414	320	322
26.5	268	450	352	356
28.5	316	480	385	391
30.5	349	498	419	422
32.5	379	516	457	455
34.5	411	536	487	484
36.5	451	560	509	508
38.5	491	591	531	532
40.5	516	616	557	559
42.5	537	647	584	586
44.5	557	675	612	613
46.5	581	699	641	641
48.5	607	721	670	669
50.5	631	744	694	694
52.5	654	765	714	714
54.5	675	788	733	733
56.5	699	808	751	751
58.5	719	828	771	770
60.5	739	851	792	792
62.5	757	873	814	814
64.5	777	894	837	837
66.5	799	913	860	859
68.5	821	934	886	883
70.5	846	969	913	911
72.5	872	1005	941	941
74.5	899	1041	971	970
76.5	930	1076	1001	1000
78.5	959	1109	1034	1031
80.5	992	1148	1067	1066
82.5	1024	1195	1102	1103
84.5	1064	1237	1141	1144
86.5	1104	1274	1183	1187
88.5	1149	1306	1225	1229
90.5	1187	1353	1267	1268
92.5	1222	1396	1308	1308
94.5	1256	1435	1346	1345
96.5	1299	1468	1383	1383
98.5	1343	1504	1418	1421
100.5	1378	1536	1453	1455
102.5	1409	1570	1486	1486
104.5	1439	1600	1516	1517
106.5	1473	1629	1547	1549
108.5	1509	1657	1576	1579
110.5	1533	1685	1602	1605
112.5	1558	1711	1627	1628
114.5	1577	1737	1649	1651
116.5	1597	1764	1671	1674
118.5	1620	1788	1693	1696
120.5	1642	1811	1717	1720
122.5	1665	1836	1743	1745
124.5	1690	1862	1768	1770
126.5	1716	1885	1793	1795
128.5	1741	1913	1820	1821
130.5	1765	1939	1845	1846
132.5	1786	1968	1872	1872
134.5	1808	1995	1898	1898
136.5	1833	2026	1924	1924
138.5	1859	2061	1953	1951
140.5	1885	2098	1985	1983
142.5	1911	2132	2016	2017
144.5	1940	2173	2046	2049
