"sampleid","geochrontype","agetype","depth","thickness","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes"
264364,Carbon-14,Radiocarbon years BP,18.5,1,94,37,37,false,,AA-69125,sedge peat,
264365,Carbon-14,Radiocarbon years BP,28.5,1,422,35,35,false,,AA-66518,sedge peat,
264366,Carbon-14,Radiocarbon years BP,33.5,1,426,37,37,false,,AA-69126,sedge peat,
264367,Carbon-14,Radiocarbon years BP,38.5,1,496,36,36,false,,AA-69127,sedge peat,
264368,Carbon-14,Radiocarbon years BP,49.5,3,780,50,50,false,,Beta-213862,sedge peat,
264369,Carbon-14,Radiocarbon years BP,58.5,1,846,38,38,false,,AA-68129,sedge peat,
264370,Carbon-14,Radiocarbon years BP,68.5,1,914,34,34,false,,AA-69130,sedge peat,
264371,Carbon-14,Radiocarbon years BP,78.5,1,1079,37,37,false,,AA-69131,sedge peat,
264372,Carbon-14,Radiocarbon years BP,84,2,1190,90,90,false,,Beta-213863,sedge peat,
264373,Carbon-14,Radiocarbon years BP,88.5,1,1342,37,37,false,,AA-69132,sedge peat,
264374,Carbon-14,Radiocarbon years BP,98.5,1,1567,37,37,false,,AA-69133,sedge peat,
264375,Carbon-14,Radiocarbon years BP,108.5,1,1743,37,37,false,,AA-69134,sedge peat,
264376,Carbon-14,Radiocarbon years BP,119.5,3,1740,80,80,false,,Beta-213864,sedge peat,
264377,Carbon-14,Radiocarbon years BP,128.5,1,1914,40,40,false,,AA-69135,sedge peat,
264378,Carbon-14,Radiocarbon years BP,138.5,1,1929,39,39,false,,AA-69136,sedge peat,
264379,Carbon-14,Radiocarbon years BP,142.75,3.5,2150,60,60,false,,Beta-213865,sedge peat,
