"name","group","element","units","context","S264380","S264381","S264382","S264383","S264384","S264385","S264386","S264387","S264388","S264389","S264390","S264391","S264392","S264393","S264394","S264395","S264396","S264397","S264398","S264399","S264400","S264401","S264402","S264403","S264404","S264405","S264406","S264407","S264408","S264409","S264410","S264411","S264412","S264413","S264414","S264415","S264416","S264417","S264418","S264419","S264420","S264421","S264422","S264423","S264424","S264425","S264426","S264427","S264428","S264429","S264430","S264431","S264432","S264433","S264434","S264435","S264436","S264437","S264438","S264439","S264440","S264441","S264442","S264443","S264444","S264445","S264446","S264447","S264448","S264449","S264450","S264451"
AnalysisUnitName,,,,,surface sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,4.5,6.5,8.5,10.5,12.5,14.5,16.5,18.5,20.5,22.5,24.5,26.5,28.5,30.5,32.5,34.5,36.5,38.5,40.5,42.5,44.5,46.5,48.5,50.5,52.5,54.5,56.5,58.5,60.5,62.5,64.5,66.5,68.5,70.5,72.5,74.5,76.5,78.5,80.5,82.5,84.5,86.5,88.5,90.5,92.5,94.5,96.5,98.5,100.5,102.5,104.5,106.5,108.5,110.5,112.5,114.5,116.5,118.5,120.5,122.5,124.5,126.5,128.5,130.5,132.5,134.5,136.5,138.5,140.5,142.5,144.5
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,264380,264381,264382,264383,264384,264385,264386,264387,264388,264389,264390,264391,264392,264393,264394,264395,264396,264397,264398,264399,264400,264401,264402,264403,264404,264405,264406,264407,264408,264409,264410,264411,264412,264413,264414,264415,264416,264417,264418,264419,264420,264421,264422,264423,264424,264425,264426,264427,264428,264429,264430,264431,264432,264433,264434,264435,264436,264437,264438,264439,264440,264441,264442,264443,264444,264445,264446,264447,264448,264449,264450,264451
SKOPE,Calibrated radiocarbon years BP,,,,-52/-55/-58,88/14/-37,126/45/-19,159/76/1,186/106/23,213/136/47,235/165/69,256/196/94,278/227/121,329/261/151,379/294/189,418/327/233,451/361/276,478/394/322,497/425/353,512/456/384,530/485/419,558/508/457,595/531/492,620/558/515,651/585/533,676/613/554,701/641/576,721/668/600,742/694/624,764/714/650,786/733/674,810/752/696,830/772/717,852/793/737,876/816/757,897/838/778,915/861/800,933/885/820,964/912/844,1014/943/870,1056/973/897,1096/1004/927,1134/1035/958,1172/1072/992,1212/1115/1028,1249/1158/1068,1284/1201/1111,1316/1246/1160,1358/1288/1207,1409/1325/1232,1452/1362/1267,1487/1400/1310,1519/1438/1356,1551/1473/1393,1587/1505/1422,1619/1536/1453,1648/1568/1487,1677/1600/1527,1706/1628/1559,1733/1652/1578,1757/1675/1598,1783/1699/1619,1809/1723/1640,1831/1747/1662,1856/1772/1685,1882/1797/1709,1906/1823/1735,1929/1848/1759,1954/1873/1782,1986/1897/1807,2020/1921/1830,2052/1944/1852,2083/1968/1877,2117/1996/1903,2150/2032/1931,2191/2067/1959
Wright 2006,Calibrated radiocarbon years BP,,,,--/-50/--,--/21/--,--/50/--,--/79/--,--/107/--,--/136/--,--/165/--,--/193/--,--/222/--,--/250/--,--/279/--,--/308/--,--/336/--,--/365/--,--/394/--,--/422/--,--/451/--,--/480/--,--/508/--,--/537/--,--/565/--,--/594/--,--/623/--,--/651/--,--/680/--,--/709/--,--/737/--,--/766/--,--/794/--,--/823/--,--/852/--,--/880/--,--/909/--,--/938/--,--/966/--,--/995/--,--/1024/--,--/1052/--,--/1081/--,--/1109/--,--/1138/--,--/1167/--,--/1195/--,--/1224/--,--/1253/--,--/1281/--,--/1310/--,--/1338/--,--/1367/--,--/1396/--,--/1424/--,--/1453/--,--/1482/--,--/1510/--,--/1539/--,--/1568/--,--/1596/--,--/1625/--,--/1653/--,--/1682/--,--/1711/--,--/1739/--,--/1768/--,--/1797/--,--/1825/--,--/1854/--,--/1882/--,--/1911/--,--/1940/--,--/1968/--,--/1997/--,--/2026/--
Abies,TRSH,pollen,NISP,,1,5,2,5,7,7,3,6,8,4,3,3,,1,3,3,4,2,4,4,4,6,6,2,4,3,3,2,,2,3,4,3,2,7,15,27,7,15,3,,4,2,1,4,,,,4,3,4,5,6,2,2,1,3,5,5,6,3,6,2,8,11,7,3,4,8,9,7,5
Alnus,TRSH,pollen,NISP,,2,3,,3,2,1,1,1,1,1,,2,1,1,1,2,,,2,2,2,1,,,1,1,1,3,,1,2,2,1,1,,2,,1,,,1,1,2,,,3,,1,,1,1,1,,2,,,1,1,1,,,2,3,2,1,,1,2,,,,1
Amaranthaceae,UPHE,pollen,NISP,,37,23,23,21,50,52,30,44,61,36,43,33,14,14,19,34,14,18,30,47,36,62,36,32,36,46,45,35,31,35,40,39,30,37,30,48,46,54,41,47,63,62,35,43,24,41,43,48,33,32,28,40,41,25,33,36,34,32,24,17,21,26,27,45,41,28,36,28,48,32,41,37
