depth	min	max	median	mean
1	-19	35	-1	2
2	-16	80	10	16
7	5	248	74	88
12	36	371	146	159
17	73	462	215	229
22	115	563	284	297
27	164	645	355	369
32	210	742	427	440
37	257	823	496	509
42	309	896	567	579
47	364	984	638	649
52	426	1071	709	721
57	486	1160	783	792
62	545	1243	858	863
67	601	1316	928	934
72	658	1391	998	1005
77	722	1458	1065	1074
82	788	1531	1134	1143
87	852	1605	1207	1213
92	914	1681	1276	1282
97	982	1756	1345	1351
101	1039	1824	1401	1407
105	1081	1877	1460	1462
110	1146	1950	1529	1532
116	1233	2040	1615	1618
121	1303	2114	1683	1688
126	1381	2182	1752	1759
129	1421	2222	1795	1801
132	1462	2269	1838	1843
134	1491	2296	1864	1871
137	1531	2338	1901	1913
139	1555	2365	1931	1941
142	1602	2408	1973	1984
147	1670	2475	2046	2054
153	1773	2564	2129	2137
158	1841	2629	2199	2209
161	1887	2672	2244	2251
163	1917	2693	2272	2280
166	1965	2733	2316	2322
168	1994	2762	2343	2350
190	2354	3089	2646	2659
195	2435	3159	2714	2728
200	2439	3164	2720	2733
200.00002	2440	3164	2720	2733
202	2502	3230	2788	2805
207	2620	3477	2959	2987
212	2758	3705	3147	3174
216	2866	3896	3301	3325
221	3014	4106	3497	3512
226	3177	4307	3685	3699
230	3288	4455	3845	3848
235	3465	4619	4038	4037
240	3656	4804	4225	4223
247	4000	5029	4487	4489
249	4091	5096	4561	4563
258	4390	5461	4865	4876
267	4597	5821	5133	5153
270	4663	5955	5223	5245
272	4703	6008	5287	5306
277	4822	6224	5440	5458
281	4921	6356	5565	5581
286	5047	6544	5716	5736
291	5157	6754	5863	5888
293	5208	6810	5928	5948
295	5240	6895	5982	6007
298	5326	7009	6077	6100
300	5361	7099	6135	6161
