"name","group","element","units","context","S8109","S8110","S8111","S8112","S8113","S8114","S8115","S8116","S8117","S8118","S8119","S8120","S8121","S8122","S8123","S8124","S8125","S8126","S8127","S8128","S8129","S8130","S8131","S8132","S8133","S8134","S8135","S8136","S8137","S8138","S8139","S8140","S8141","S8142","S8143","S8144","S8145","S8146","S8147","S8148","S8149","S8150","S8151","S8152","S8153","S8154","S8155","S8156","S8157","S8158","S8159","S8160","S8161","S8162","S8163","S8164","S8165","S8166","S8167","S8168","S8169","S8170","S8171","S8172","S8173","S8174"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,2,7,12,17,22,27,32,37,42,47,52,57,62,67,72,77,82,87,92,97,101,105,110,116,121,126,129,132,134,137,139,142,147,153,158,161,163,166,168,190,195,200,202,207,212,216,221,226,230,235,240,247,249,258,267,270,272,277,281,286,291,293,295,298,300
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,8109,8110,8111,8112,8113,8114,8115,8116,8117,8118,8119,8120,8121,8122,8123,8124,8125,8126,8127,8128,8129,8130,8131,8132,8133,8134,8135,8136,8137,8138,8139,8140,8141,8142,8143,8144,8145,8146,8147,8148,8149,8150,8151,8152,8153,8154,8155,8156,8157,8158,8159,8160,8161,8162,8163,8164,8165,8166,8167,8168,8169,8170,8171,8172,8173,8174
NAPD 1,Radiocarbon years BP,,,,--/0/--,--/13/--,--/78/--,--/143/--,--/208/--,--/273/--,--/338/--,--/403/--,--/468/--,--/533/--,--/598/--,--/662/--,--/727/--,--/792/--,--/857/--,--/922/--,--/987/--,--/1052/--,--/1117/--,--/1182/--,--/1247/--,--/1299/--,--/1351/--,--/1416/--,--/1494/--,--/1559/--,--/1624/--,--/1663/--,--/1702/--,--/1728/--,--/1767/--,--/1793/--,--/1832/--,--/1896/--,--/1974/--,--/2039/--,--/2078/--,--/2104/--,--/2143/--,--/2169/--,--/2455/--,--/2520/--,--/2666/--,--/2725/--,--/2872/--,--/3018/--,--/3135/--,--/3282/--,--/3428/--,--/3545/--,--/3692/--,--/3838/--,--/4044/--,--/4102/--,--/4366/--,--/4630/--,--/4717/--,--/4776/--,--/4922/--,--/5040/--,--/5186/--,--/5333/--,--/5391/--,--/5450/--,--/5538/--,--/5596/--
SKOPE,Calibrated radiocarbon years BP,,,,33/1/-21,73/14/-19,231/82/-2,350/151/26,451/221/63,539/291/107,630/361/155,714/431/204,798/501/253,885/571/307,966/639/361,1042/709/418,1129/780/477,1206/848/532,1283/917/590,1356/987/651,1433/1057/713,1509/1127/775,1581/1197/840,1651/1266/903,1727/1336/962,1780/1391/1012,1835/1447/1065,1902/1515/1133,1981/1599/1224,2053/1669/1293,2120/1739/1359,2155/1780/1399,2195/1821/1443,2224/1849/1471,2265/1891/1515,2291/1920/1543,2327/1961/1587,2391/2030/1657,2473/2112/1747,2534/2182/1821,2573/2224/1867,2592/2252/1898,2632/2293/1946,2655/2321/1980,2935/2625/2344,2988/2692/2429,2998/2693/2424,3081/2765/2487,3352/2942/2603,3588/3123/2733,3767/3266/2828,3972/3446/2970,4149/3626/3121,4295/3768/3231,4454/3949/3409,4598/4126/3584,4776/4380/3894,4832/4452/3974,5104/4760/4331,5553/5033/4538,5717/5126/4598,5784/5185/4650,5992/5335/4763,6157/5457/4848,6351/5607/4961,6552/5759/5076,6633/5821/5128,6717/5880/5165,6821/5972/5241,6920/6033/5282
Abies,TRSH,pollen,NISP,,7,21,9,8,3,8,6,3,5,7,5,4,7,13,7,4,10,4,5,4,5,3,9,5,5,9,10,10,15,7,13,12,9,10,6,2,11,7,11,19,37,13,7,52,9,42,12,12,3,13,9,12,8,10,4,7,11,7,7,17,1,2,4,6,2,14
Alnus,TRSH,pollen,NISP,,4,4,4,3,3,3,6,6,7,11,3,2,1,6,1,1,3,2,2,3,4,2,1,1,3,2,3,,1,,1,4,1,3,6,2,,3,2,6,3,1,1,5,,,1,,,,,,,,,,,,,2,2,2,1,,4,2
Amaranthaceae undiff.,UPHE,pollen,NISP,,27,22,25,23,22,11,16,25,26,23,28,32,28,33,18,15,22,33,19,17,23,23,23,9,15,27,23,20,20,22,15,27,15,20,23,18,25,36,38,56,27,30,14,49,14,32,16,11,15,17,12,13,7,5,15,13,10,9,15,8,12,12,11,12,19,12
Ambrosia,UPHE,pollen,NISP,,19,15,12,14,12,6,5,10,7,11,20,13,8,7,18,14,15,13,16,22,16,11,12,6,12,11,17,7,14,15,10,21,21,13,16,12,7,15,11,38,13,16,7,25,3,7,7,2,5,4,2,4,6,2,4,8,2,5,3,2,4,9,9,2,6,6
