"depth"	"min"	"max"	"median"	"mean"
1	-58	-36	-48	-48
10	-10	53	12	14
18	35	100	67	67
28	120	431	239	248
38	277	739	508	508
47	516	936	749	742
57	873	1101	994	993
66	1001	1417	1168	1179
76	1150	1637	1365	1374
86	1304	1837	1568	1568
93	1454	1960	1703	1704
108	1832	2385	2045	2063
120	2090	3077	2499	2525
129	2351	3460	2884	2887
139	2738	3830	3291	3290
149	3180	4175	3690	3684
159	3634	4470	4093	4075
169	4358	5958	4956	5018
180	5649	7842	6977	6904
190	7998	8415	8194	8201
201	8253	8811	8521	8524
211	8518	9058	8813	8804
220	8879	9222	9064	9062
231	9065	9646	9305	9319
240	9201	9938	9510	9526
248	9343	10154	9695	9712
257	9516	10394	9909	9920
269	9753	10722	10190	10205
281	10014	11034	10472	10483
290	10197	11268	10680	10694
300	10426	11483	10918	10924
310	10648	11713	11144	11148
320	10904	11962	11378	11386
333	11280	12244	11668	11688
340	11515	12435	11822	11853
352	11811	12463	NA	12098
360	11940	12881	NA	12340
370	12128	13305	NA	12641
381	12355	13763	NA	12974
391	12572	14150	NA	13280
400	12783	14501	NA	13558
427	13415	15525	NA	14379
444	13828	16128	NA	14898
