"name","group","element","units","context","S192202","S192203","S192204","S192205","S192206","S192207","S192208","S192209","S192210","S192211","S192212","S192213","S192214","S192215","S192216","S192217","S192218","S192219","S192220","S192221","S192222","S192223","S192224","S192225","S192226","S192227","S192228","S192229","S192230","S192231","S192232","S192233","S192234","S192235","S192236","S192237","S192238","S192239","S192240","S192241","S192242","S192243","S192244"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,10,18,28,38,47,57,66,76,86,93,108,120,129,139,149,159,169,180,190,201,211,220,231,240,248,257,269,281,290,300,310,320,333,340,352,360,370,381,391,400,427,444
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,192202,192203,192204,192205,192206,192207,192208,192209,192210,192211,192212,192213,192214,192215,192216,192217,192218,192219,192220,192221,192222,192223,192224,192225,192226,192227,192228,192229,192230,192231,192232,192233,192234,192235,192236,192237,192238,192239,192240,192241,192242,192243,192244
SKOPE,Calibrated radiocarbon years BP,,,,-36/-48/-61,56/15/-12,103/69/38,434/248/115,759/507/268,943/745/499,1106/999/875,1414/1178/993,1636/1374/1131,1834/1567/1307,1960/1706/1468,2400/2076/1833,3123/2553/2088,3501/2905/2361,3864/3297/2709,4183/3696/3130,4459/4102/3672,6090/5061/4382,7905/7083/5929,8399/8209/8029,8814/8523/8261,9061/8814/8523,9239/9073/8876,9632/9323/9062,9915/9526/9200,10116/9704/9342,10355/9907/9498,10644/10179/9729,10916/10445/9976,11106/10649/10176,11329/10875/10394,11533/11100/10636,11724/11326/10872,11956/11621/11253,12075/11780/11470,12463/12098/11811,12881/12340/11940,13305/12641/12128,13763/12974/12355,14150/13280/12572,14501/13558/12783,15525/14379/13415,16128/14898/13828
Abies,TRSH,pollen,NISP,,9,4,15,13,32,11,9,5,14,4,10,13,10,4,9,12,14,,,1,5,,3,1,1,3,,1,3,1,3,1,5,2,2,3,2,3,,2,1,1,
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,,,1,,,1,1,,,,,1,,,,,,1,,2,1,,2,1,,,,,,1,,,,,,,,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,12,16,11,10,24,19,16,11,12,12,16,20,22,20,17,12,16,19,,25,21,8,12,11,10,14,7,14,12,7,8,6,3,3,9,2,7,8,3,11,,1,
Ambrosia,UPHE,pollen,NISP,,7,10,8,4,9,9,4,5,5,11,4,14,6,10,7,2,4,7,,8,8,6,8,9,5,7,8,6,10,6,11,8,15,18,13,7,10,11,11,8,1,,
Anemone sect. Pulsatilla,UPHE,pollen,NISP,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Arceuthobium,TRSH,pollen,NISP,,,,,,,,,,2,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,2,,1,,
Artemisia,UPHE,pollen,NISP,,9,15,21,37,25,18,25,23,33,28,22,22,30,30,19,25,22,25,,41,31,44,23,34,43,40,55,61,90,98,102,93,116,102,98,115,87,111,97,71,4,3,
Asteraceae undiff.,UPHE,pollen,NISP,,10,12,13,14,9,18,11,6,11,6,5,6,7,4,15,6,3,25,,10,2,8,,,12,8,4,4,4,8,15,4,17,3,9,8,6,12,5,9,3,,
