depth	min	max	median	mean
0.5	-21	54	3	7
5	-1	655	156	204
10	72	1002	374	419
15	181	1323	589	633
20	311	1612	810	853
25	459	1863	1043	1075
30	611	2104	1250	1289
35	769	2353	1478	1504
40	941	2631	1697	1724
45	1112	2879	1917	1938
50	1300	3095	2135	2150
55	1466	3349	2351	2370
60	1687	3591	2576	2588
65	1881	3843	2793	2807
70	2068	4058	3014	3024
75	2259	4282	3229	3237
80	2462	4488	3440	3448
85	2666	4699	3656	3668
90	2886	4917	3884	3886
95	3080	5135	4086	4096
100	3266	5337	4315	4310
105	3481	5526	4538	4528
110	3702	5726	4760	4743
115	3908	5912	4979	4958
120	4117	6081	5181	5165
125	4379	6297	5405	5386
130	4622	6471	5620	5609
135	4871	6631	5846	5823
140	5126	6815	6070	6048
145	5352	6986	6298	6270
150	5607	7165	6531	6494
155	5918	7319	6753	6718
160	6197	7467	6963	6928
165	6482	7615	7180	7146
170	6840	7775	7394	7368
