depth	min	max	median	mean
0	-62	-7	-36	-36
10	147	1689	694	748
20	631	2647	1494	1527
30	1334	3505	2381	2392
40	2134	4169	3217	3202
50	2982	4809	4087	4030
60	4460	5273	4929	4913
70	4748	5891	5304	5309
80	5054	6355	5689	5697
90	5374	6819	6099	6101
100	5805	7222	6498	6501
110	6184	7564	6900	6896
120	6588	7901	7310	7290
130	7036	8214	7711	7688
140	7514	8492	8096	8071
150	8114	8755	8476	8469
160	8349	9104	8726	8731
170	8595	9395	8989	8994
180	8869	9677	9249	9256
190	9101	9921	9513	9514
200	9411	10141	9783	9783
210	9733	10692	10153	10161
220	10081	11392	10654	10674
230	10497	11905	11185	11192
240	11035	12373	11701	11698
250	11510	12897	12198	12200
260	11942	13474	12683	12687
270	12437	14012	13169	13179
280	13024	14568	13637	13670
290	13373	15248	14136	14179
300	13732	15940	14624	14680
