depth	min	max	median	mean
0	-65	-6	-36	-36
10	134	1794	723	787
20	618	2784	1593	1621
30	1367	3603	2459	2464
40	2122	4279	3282	3257
50	3077	4842	4108	4062
60	4436	5269	4933	4917
70	4765	5924	5305	5316
80	5081	6398	5699	5708
90	5452	6839	6104	6118
100	5796	7239	6507	6510
110	6172	7625	6923	6911
120	6613	7950	7323	7315
130	7019	8247	7728	7705
140	7547	8538	8124	8099
150	8153	8808	8486	8487
160	8388	9203	8769	8779
170	8634	9533	9059	9066
180	8913	9849	9342	9351
190	9172	10141	9634	9635
200	9482	10448	9924	9921
210	9795	10903	10277	10296
220	10160	11486	10760	10772
230	10577	11989	11258	11265
240	11059	12419	11753	11747
250	11537	12937	12224	12226
260	11996	13500	12722	12720
270	12446	14020	13194	13200
280	13023	14582	13660	13692
290	13370	15239	14164	14199
300	13733	15948	14680	14716
