"name","group","element","units","context","S58051","S58052","S58053","S58054","S58055","S58056","S58057","S58058","S58059","S58060","S58061","S58062","S58063","S58064","S58065","S58066","S58067","S58068","S58069","S58070","S58071","S58072","S58073","S58074","S58075","S58076","S58077","S58078","S58079","S58080","S58081"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,58051,58052,58053,58054,58055,58056,58057,58058,58059,58060,58061,58062,58063,58064,58065,58066,58067,58068,58069,58070,58071,58072,58073,58074,58075,58076,58077,58078,58079,58080,58081
SKOPE,Calibrated radiocarbon years BP,,,,-22/-37/-52,1768/774/124,2819/1640/636,3606/2477/1375,4292/3314/2153,4889/4150/3162,5316/4948/4467,5935/5369/4801,6434/5763/5119,6857/6153/5460,7262/6549/5819,7641/6943/6214,7994/7339/6628,8295/7725/7045,8558/8125/7553,8802/8510/8139,9163/8797/8426,9472/9055/8645,9760/9316/8886,10012/9578/9151,10209/9834/9437,10438/10118/9777,11257/10621/10079,11871/11139/10466,12355/11638/10923,12814/12152/11493,13417/12641/11872,13969/13126/12360,14482/13615/12872,15067/14109/13344,15752/14606/13703
NAPD 1,Radiocarbon years BP,,,,--/0/--,--/732/--,--/1463/--,--/2195/--,--/2927/--,--/3658/--,--/4390/--,--/4760/--,--/5130/--,--/5500/--,--/5870/--,--/6240/--,--/6610/--,--/6980/--,--/7350/--,--/7720/--,--/7901/--,--/8082/--,--/8263/--,--/8444/--,--/8625/--,--/8908/--,--/9294/--,--/9681/--,--/10067/--,--/10470/--,--/10890/--,--/11310/--,--/11730/--,--/12150/--,--/12570/--
Abies,TRSH,pollen,NISP,,28,9,36,4,22,2,15,1,39,3,26,2,30,,29,11,11,5,28,6,1,1,2,1,,1,,2,,,
Algae,ALGA,palynomorph,NISP,,32,,20,,,,,,10,,,,5,,3,,6,,5,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,3,,2,,,,,,,,1,,,2,,,,1,,1,,,,,,1,,,,,
Amaranthaceae undiff.,UPHE,pollen,NISP,,44,27,41,32,34,42,40,48,42,29,32,28,38,37,41,24,32,11,55,15,4,8,12,10,14,8,8,13,6,11,13
Ambrosia,UPHE,pollen,NISP,,6,5,5,5,10,10,5,6,12,8,8,45,3,11,7,22,9,12,19,14,15,19,17,16,15,4,7,8,23,9,4
Apiaceae,UPHE,pollen,NISP,,5,,2,,,,,1,2,,2,,,,,,,,3,,,,,,,,,,,,
Aquilegia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,2,,,1,2,,1,,,,,,
Arceuthobium,TRSH,pollen,NISP,,,,1,,,,1,,3,,1,,2,,1,,1,,,1,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,70,74,67,73,63,40,70,64,54,59,44,21,47,44,38,27,62,40,76,39,30,31,45,38,31,98,99,142,102,169,156
Asteroideae undiff.,UPHE,pollen,NISP,,12,4,14,8,22,9,14,7,12,7,15,6,15,6,20,8,10,4,20,1,3,2,6,6,2,4,4,9,6,12,8
Astragalus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Betula,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Boerhavia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,,3,,1,,1,,1,,,,2,,,,,,1,,,,1,,1,,,,1,,,1
Bryophyta,UPBR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,
Caryophyllaceae,UPHE,pollen,NISP,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,2
Castilleja,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Ceanothus,TRSH,pollen,NISP,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,
Celtis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Cephalanthus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Cercocarpus,TRSH,pollen,NISP,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium,UPHE,pollen,NISP,,1,,,1,2,,1,,,,1,,1,,1,,,,1,1,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,9,6,4,2,,5,,7,7,1,2,2,,4,3,1,3,2,2,1,2,2,2,1,2,6,3,12,2,4,4
