depth	min	max	median	mean
0	-44	-15	-30	-30
20	228	2060	1040	1067
40	1297	2952	2311	2257
60	2856	3876	3253	3283
80	3383	4601	4012	4007
100	4399	5113	4723	4729
120	4714	6105	5263	5298
140	5064	6875	5834	5872
160	5514	7627	6401	6440
180	5937	8293	6956	6999
200	6413	8845	7528	7563
220	6909	9411	8106	8122
240	7423	9961	8664	8680
260	7964	10541	9240	9241
280	8490	11055	9801	9800
300	9054	11545	10356	10353
320	9654	12066	10933	10922
340	10281	12542	11521	11489
360	10972	13012	12071	12049
380	11651	13448	12620	12598
400	12476	13896	13142	13157
420	12897	14865	13712	13763
430	13124	15328	14017	14071
