"name","group","element","units","context","S11533","S11534","S11535","S11536","S11537","S11538","S11539","S11540","S11541","S11542","S11543","S11544","S11545","S11546","S11547","S11548","S11549","S11550","S11551","S11552","S11553","S11554","S11555"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,430
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,11533,11534,11535,11536,11537,11538,11539,11540,11541,11542,11543,11544,11545,11546,11547,11548,11549,11550,11551,11552,11553,11554,11555
NAPD 1,Radiocarbon years BP,,,,--/-39/--,--/1062/--,--/2162/--,--/3069/--,--/3655/--,--/4240/--,--/4704/--,--/5168/--,--/5632/--,--/6096/--,--/6560/--,--/7024/--,--/7488/--,--/7952/--,--/8416/--,--/8880/--,--/9344/--,--/9808/--,--/10272/--,--/10736/--,--/11200/--,--/11664/--,--/11896/--
SKOPE,Calibrated radiocarbon years BP,,,,-15/-30/-46,2169/1121/255,2996/2299/1322,3861/3312/2887,4646/4025/3360,5170/4762/4367,6078/5327/4758,6851/5873/5111,7557/6446/5515,8229/6997/5954,8840/7557/6412,9438/8117/6885,10010/8676/7378,10566/9231/7909,11063/9786/8435,11596/10345/9003,12125/10904/9590,12613/11464/10206,13095/12021/10815,13533/12589/11504,13996/13136/12280,14743/13717/12900,15211/14024/13132
Abies,TRSH,pollen,NISP,,6,3,9,6,9,3,1,1,,1,,2,6,3,2,2,,2,1,2,3,4,1
Acer,TRSH,pollen,NISP,,,,,,,,3,1,1,3,,,,3,,3,3,4,,1,2,,
Amaranthaceae undiff.,UPHE,pollen,NISP,,15,10,12,14,7,16,12,18,11,9,4,10,12,7,15,9,20,7,10,11,9,14,12
Ambrosia,UPHE,pollen,NISP,,9,4,6,3,8,9,7,7,18,12,5,14,11,6,13,9,13,8,10,9,10,5,9
