depth	min	max	median	mean
14.5	15	692	261	289
24.5	130	969	523	529
34.5	326	1154	776	761
46.5	474	1327	1073	1034
54.5	907	1423	1254	1231
64.5	1320	1562	1420	1426
74.5	1366	1738	1509	1521
84.5	1423	1847	1599	1607
92.5	1479	1935	1669	1680
98	1510	1977	1726	1732
108	1608	2073	1829	1832
118	1690	2158	1921	1922
128	1785	2225	2015	2013
137	1877	2276	2091	2090
148	2025	2329	2189	2190
158	2181	2456	2321	2307
168	2260	2899	2478	2508
173	2334	3064	2581	2618
178	2385	3209	2694	2728
188	2513	3540	2910	2942
193	2596	3653	3015	3047
203	2748	3925	3232	3258
213	2939	4120	3460	3473
223	3127	4316	3670	3681
233	3311	4506	3885	3892
243	3492	4668	4110	4109
253	3724	4812	4350	4327
263	4103	4983	4580	4568
273	4614	5218	4835	4857
283	4869	5714	5188	5221
292	5073	6279	5562	5590
298	5229	6776	5868	5902
308	5543	7426	6480	6484
318	5952	7847	6943	6940
328	6376	8069	7423	7364
338	7297	8253	7930	7879
348	8216	8531	8359	8357
358	8360	9290	8720	8751
368	8536	9875	9069	9107
378	8813	10276	9432	9466
386	9042	10521	9714	9739
394	9312	10802	10022	10034
399	9450	11006	10234	10235
409	9810	11283	10633	10614
419	10326	11546	11006	10983
424	10664	11641	11185	11178
429	10930	11732	11386	11377
439	11394	12121	11724	11727
449	11534	12553	11968	11989
459	11705	12867	12206	12228
469	11862	13190	12458	12474
479	12087	13426	12716	12726
489	12304	13685	12980	12977
498.5	12506	13932	13229	13226
503.5	12643	14059	13358	13354
508.5	12756	14171	13492	13481
518.5	13022	14385	13744	13739
528.5	13314	14580	13972	13982
538.5	13694	14718	14190	14227
543.5	13971	14789	14313	14374
548.5	14148	14965	14461	14531
558.5	14332	15680	14912	14911
568.5	14532	16142	15251	15266
578.5	14851	16641	15664	15684
586	15078	16930	15958	15970
598.5	15510	17416	16455	16469
610.5	15980	17829	17001	16977
620.5	16448	18106	17397	17367
629.5	16870	18323	17783	17728
640.5	17558	18520	18169	18136
650.5	18274	18762	18467	18480
660.5	18355	19144	18660	18676
673	18486	19547	18906	18931
680.5	18558	19821	19046	19083
693.5	18751	20179	19313	19350
