"name","group","element","units","context","S163770","S163771","S163772","S163773","S163774","S163775","S163776","S163777","S163778","S163779","S163780","S163781","S163782","S163783","S163784","S163785","S163786","S163787","S163788","S163789","S163790","S163791","S163792","S163793","S163794","S163795","S163796","S163797","S163798","S163799","S163800","S163801","S163802","S163803","S163804","S163805","S163806","S163807","S163808","S163809","S163810","S163811","S163812","S163813","S163814","S163815","S163816","S163817","S163818","S163819","S163820","S163821","S163822","S163823","S163824","S163825","S163826","S163827","S163828","S163829","S163830","S163831","S163832","S163833","S163834","S163835","S163836","S163837","S163838","S163839","S163840","S163841","S163842","S163843","S163844"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,14.5,24.5,34.5,46.5,54.5,64.5,74.5,84.5,92.5,98,108,118,128,137,148,158,168,173,178,188,193,203,213,223,233,243,253,263,273,283,292,298,308,318,328,338,348,358,368,378,386,394,399,409,419,424,429,439,449,459,469,479,489,498.5,503.5,508.5,518.5,528.5,538.5,543.5,548.5,558.5,568.5,578.5,586,598.5,610.5,620.5,629.5,640.5,650.5,660.5,673,680.5,693.5
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,163770,163771,163772,163773,163774,163775,163776,163777,163778,163779,163780,163781,163782,163783,163784,163785,163786,163787,163788,163789,163790,163791,163792,163793,163794,163795,163796,163797,163798,163799,163800,163801,163802,163803,163804,163805,163806,163807,163808,163809,163810,163811,163812,163813,163814,163815,163816,163817,163818,163819,163820,163821,163822,163823,163824,163825,163826,163827,163828,163829,163830,163831,163832,163833,163834,163835,163836,163837,163838,163839,163840,163841,163842,163843,163844
Johnson 2010,Calibrated radiocarbon years BP,,,,--/274/--,--/493/--,--/713/--,--/954/--,--/1152/--,--/1371/--,--/1502/--,--/1594/--,--/1668/--,--/1714/--,--/1806/--,--/1899/--,--/1991/--,--/2074/--,--/2176/--,--/2294/--,--/2515/--,--/2626/--,--/2736/--,--/2958/--,--/3068/--,--/3289/--,--/3510/--,--/3731/--,--/3952/--,--/4174/--,--/4395/--,--/4616/--,--/4837/--,--/5371/--,--/5790/--,--/6069/--,--/6534/--,--/7000/--,--/7465/--,--/7931/--,--/8397/--,--/8864/--,--/9332/--,--/9799/--,--/10173/--,--/10546/--,--/10780/--,--/11247/--,--/11692/--,--/11804/--,--/11916/--,--/12140/--,--/12364/--,--/12589/--,--/12813/--,--/13037/--,--/13262/--,--/13486/--,--/13598/--,--/13710/--,--/13935/--,--/14159/--,--/14383/--,--/14539/--,--/14725/--,--/15098/--,--/15470/--,--/15843/--,--/16104/--,--/16589/--,--/16999/--,--/17371/--,--/17744/--,--/18117/--,--/18489/--,--/18862/--,--/19347/--,--/19607/--,--/20092/--
Neotoma 1,Calibrated radiocarbon years BP,,,,774/303/52,985/546/139,1196/789/346,1367/1075/640,1471/1258/982,1575/1441/1325,1729/1532/1373,1850/1624/1431,1936/1700/1487,1994/1752/1524,2077/1840/1602,2156/1929/1688,2229/2017/1777,2284/2100/1879,2336/2201/2010,2388/2305/2189,2860/2493/2264,3035/2599/2324,3179/2708/2373,3459/2918/2489,3591/3029/2572,3850/3257/2745,4109/3485/2918,4316/3723/3104,4487/3942/3309,4609/4106/3513,4732/4271/3718,4976/4600/4126,5201/4833/4538,5610/5191/4862,6657/5639/5016,6969/5927/5126,7440/6418/5456,7821/6887/5774,8113/7343/6158,8330/7838/6788,8432/8297/8076,9280/8684/8346,9828/9056/8492,10284/9441/8714,10593/9743/8928,10862/10054/9206,11068/10255/9359,11380/10635/9760,11554/10908/10091,11727/11182/10422,11847/11355/10602,12166/11662/11082,12486/11969/11563,12824/12212/11719,13114/12459/11898,13405/12706/12067,13551/12856/12202,13698/13005/12337,13990/13304/12607,14122/13429/12709,14327/13684/13010,14545/13932/13267,14751/14172/13611,14848/14291/13849,14967/14412/14072,15423/14745/14293,15995/15137/14490,16477/15520/14738,16748/15822/14971,17271/16324/15357,17700/16785/15777,18030/17203/16179,18275/17571/16637,18500/17999/17192,18673/18395/17985,19065/18641/18212,19482/18893/18384,19742/19040/18464,20073/19301/18656
Abies,TRSH,pollen,NISP,,10,7,8,18,10,14,10,17,8,8,9,3,3,18,2,1,2,7,2,3,2,13,18,4,2,2,3,7,9,,1,3,1,,2,,1,12,2,3,14,1,2,,3,25,2,1,2,,1,16,,4,8,1,1,,1,2,,,,,,,,,2,,,,,,
Acer,TRSH,pollen,NISP,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,,,1,,,1,1,1,1,2,1,4,,2,,,2,3,3,3,2,1,,4,,12,,1,,1,12,10,7,10,8,6,6,21,8,8,3,6,5,11,5,3,,1,,1,,,,4,11,,2,,1,,,,,,,,1,,,,,,,,
