depth	min	max	median	mean
105	-39	262	36	57
125	128	928	437	458
145	396	1377	834	849
175	924	1898	1446	1433
195	1409	2179	1825	1817
215	2139	3534	2554	2625
235	2886	5767	4225	4244
265	6438	7003	6726	6724
285	7035	8668	7662	7710
305	7654	9668	8570	8608
325	8494	10511	9517	9499
345	9381	11044	10390	10341
355	10150	11259	10822	10787
375	10914	11719	11363	11354
375.00001	10914	11719	11363	11354
395	11056	11869	11508	11500
415	11242	12084	11688	11685
435	11454	12270	11873	11870
445	11545	12361	11966	11964
450	11586	12417	12008	12009
455	11633	12453	12059	12056
470	11767	12590	12201	12197
490	11983	12743	12391	12383
510	12184	12917	12581	12572
530	12397	13059	12765	12757
540	12514	13133	12861	12853
560	12765	13272	13046	13036
580	13089	13417	13216	13222
600	13195	13736	13407	13423
