"name","group","element","units","context","S134436","S134437","S134438","S134439","S134440","S134441","S134442","S134443","S134444","S134445","S134446","S134447","S134448","S134449","S134450","S134451","S134452","S134453","S134454","S134455","S134456","S134457","S134458","S134459","S134460","S134461","S134462","S134463"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,105,125,145,175,195,215,235,265,285,305,325,345,355,375,395,415,435,445,450,455,470,490,510,530,540,560,580,600
Thickness,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,134436,134437,134438,134439,134440,134441,134442,134443,134444,134445,134446,134447,134448,134449,134450,134451,134452,134453,134454,134455,134456,134457,134458,134459,134460,134461,134462,134463
SKOPE,Calibrated radiocarbon years BP,,,,241/50/-44,888/438/98,1364/841/364,1931/1446/895,2227/1856/1436,3280/2558/2116,5471/4065/2901,7020/6610/6062,8519/7628/7012,9691/8548/7591,10514/9430/8354,11168/10352/9285,11397/10799/9913,11754/11427/11010,11937/11590/11158,12144/11779/11346,12353/11972/11550,12461/12068/11645,12517/12116/11685,12559/12165/11736,12711/12310/11876,12887/12500/12073,13053/12690/12261,13211/12880/12477,13282/12974/12592,13429/13161/12828,13564/13349/13084,13821/13543/13328
Weng & Jackson 1999,Calibrated radiocarbon years BP,,,,--/94/--,--/472/--,--/849/--,--/1414/--,--/1792/--,--/2729/--,--/4350/--,--/6781/--,--/7624/--,--/8467/--,--/9309/--,--/10152/--,--/10574/--,--/11098/--,--/11307/--,--/11514/--,--/11722/--,--/11826/--,--/11878/--,--/11930/--,--/12086/--,--/12293/--,--/12501/--,--/12709/--,--/12813/--,--/13020/--,--/13228/--,--/13384/--
Acer,TRSH,pollen,NISP,,,,,,2,,,,,,,,,,,,,,,,1,,1,,,1,2,3
Alnus,TRSH,pollen,NISP,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,,,2,1,,,1,1,,1,13,,,,4,1,2,,1,,6,3,5,5,10,8,7,6
Ambrosia,UPHE,pollen,NISP,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,25,20,5,5,6,5,1,4,4,5,1,1,3,7,20,12,7,7,10,7.2,18,25,23,33,32,43,42,40
Arceuthobium,TRSH,pollen,NISP,,12,9,12,15,10,17,11,10,6,12,3,9,12,18,22,21,17,26,16,36,23,27,18,23,32,32,25,34
Artemisia,UPHE,pollen,NISP,,,,,,,,,,,,,1,1,,,,,2,,,,,,,,,,
Asteroideae undiff.,UPHE,pollen,NISP,,,,,,1,,,1,,,1,,,5,2,3,3,,1,,,2,1,3,2,2,,1
Betula,TRSH,pollen,NISP,,1,,1,,,,,,,,,,,,1,,1,,,,,,,,1,,,
Caryophyllaceae,UPHE,pollen,NISP,,8,21,18,26,18,19,16,21,23,30,15,19,25,110,150,127,100,124,34,62,103,96,78,78,107,117,109,243
Ceanothus,TRSH,pollen,NISP,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,1,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,
Corylus,TRSH,pollen,NISP,,,,,,1,1,,,,,,,,,,,,2,,,,,,,,,,2
Cupressaceae/Taxaceae,TRSH,pollen,NISP,,,,,,,,,1,,,1,1,,,,,,,,5,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,13,6,5,13,12,13,7,9,17,11,9,11,12,22,24,26,12,31,12,26,9,18,11,13,17,14,15,23
Elaeagnus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Ephedra,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Eriogonum,UPHE,pollen,NISP,,6,7,11,2,3,3,1,2,1,1,5,6,7,15,14,12,17,10,2,24,7,11,11,23,11,19,20,28
Indeterminable,UNID,pollen/spore,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Juglans,TRSH,pollen,NISP,,6,1,1,5,5,,1,,,,,,1,,3,3,1,,2,,6,7,6,8,14,5,14,13
Lamiaceae,UPHE,pollen,NISP,,12,13,45,61,50,34,25,18,28,63,17,15,17,16,24,21,25,19,32,45,45,55,74,78,98,104,107,43
Menyanthes,AQVP,pollen,NISP,,1,1,,,,1,,,,,,,,,,,1,,1,,,1,,1,1,,1,3
Osmunda,VACR,spore,NISP,,2,,6,3,6,8,3,11,6,4,2,2,4,9,8,17,7,33,4,33,16,11,8,19,18,12,13,12
Phlox,UPHE,pollen,NISP,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
Picea,TRSH,pollen,NISP,,,,,,,,1,,,,,,2,,,,,,,2,,,1,,1,1,,1
Pinus contorta,TRSH,pollen,NISP,,1,1,,,,,,1,,1,5,6,5,69,80,97,97,233,23,91,77,68,56,62,59,53,54,7
Pinus edulis,TRSH,pollen,NISP,,3,2,1,,,,,,1,1,,,,,,,2,,,,,,,1,2,,1,1
Pinus flexilis,TRSH,pollen,NISP,,,,1,4,4,1,2,1,2,,,,1,1,7,4,13,19,1,17,11,15,16,11,5,11,5,10
Pinus ponderosa,TRSH,pollen,NISP,,1,,3,1,,,1,1,,,5,,3,5,,2,,,1,,2,3,1,2,1,2,3,3
Pinus subg. Pinus undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,
