depth	min	max	median	mean
1	-29	222	69	77
9	35	1748	490	632
17	358	2730	1330	1377
21	494	3291	1720	1741
34	1084	3722	2827	2732
48	3458	4055	3865	3841
53	4077	4968	4334	4383
61	4277	7618	5212	5414
71	4857	9258	6713	6795
82	6022	10518	8340	8308
94	7825	11549	9963	9887
107	9202	12502	11277	11171
115	9816	13034	11728	11650
123	10325	13494	12139	12080
134	11113	14183	12700	12674
142	11678	14722	13113	13106
151	12299	15164	13541	13578
159	13079	15588	13914	14014
167	13745	17155	14969	15114
176	14513	19402	16604	16689
180	14703	20730	17316	17439
192	16577	22773	19533	19575
203	18738	24276	21690	21631
209	19790	25074	22908	22784
217	20677	26101	23858	23739
221	21040	26762	24246	24165
230	21846	28040	25097	25059
242	22968	29310	26216	26221
248	23553	29957	26790	26808
259	24504	31409	27943	27957
267	25218	32500	28782	28785
276	26051	33700	29751	29746
288	27044	35172	30957	30993
296	27796	36116	31744	31809
303	28517	36895	32447	32528
315	29704	38030	33766	33762
326	30739	39276	34849	34896
338	31868	40441	36060	36106
348	32588	41649	37097	37122
355	33123	42580	37796	37829
367	34083	44256	38986	39058
376	34912	45383	39885	39984
388	35909	46941	41106	41210
399.5	36833	48513	42239	42398
412	37928	50004	43535	43667
420	38487	51157	44367	44483
