"name","group","element","units","context","S21843","S21844","S21845","S21846","S21847","S21848","S21849","S21850","S21851","S21852","S21853","S21854","S21855","S21856","S21857","S21858","S21859","S21860","S21861","S21862","S21863","S21864","S21865","S21866","S21867","S21868","S21869","S21870","S21871","S21872","S21873","S21874","S21875","S21876","S21877","S21878","S21879","S21880","S21881","S21882","S21883","S21884","S21885","S21886","S21887","S21888"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,9,17,21,34,48,53,61,71,82,94,107,115,123,134,142,151,159,167,176,180,192,203,209,217,221,230,242,248,259,267,276,288,296,303,315,326,338,348,355,367,376,388,399.5,412,420
Thickness,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,21843,21844,21845,21846,21847,21848,21849,21850,21851,21852,21853,21854,21855,21856,21857,21858,21859,21860,21861,21862,21863,21864,21865,21866,21867,21868,21869,21870,21871,21872,21873,21874,21875,21876,21877,21878,21879,21880,21881,21882,21883,21884,21885,21886,21887,21888
NAPD 2,Radiocarbon years BP,,,,--/81/--,--/725/--,--/1370/--,--/1692/--,--/2740/--,--/3869/--,--/4447/--,--/5653/--,--/7160/--,--/8819/--,--/10628/--,--/12160/--,--/12390/--,--/12620/--,--/12935/--,--/13165/--,--/13423/--,--/13653/--,--/14985/--,--/16898/--,--/17748/--,--/20299/--,--/22637/--,--/23912/--,--/24733/--,--/24879/--,--/25208/--,--/25646/--,--/25865/--,--/27070/--,--/28039/--,--/29129/--,--/30582/--,--/31551/--,--/32398/--,--/33852/--,--/35184/--,--/36637/--,--/37848/--,--/38695/--,--/40148/--,--/41238/--,--/42691/--,--/44084/--,--/45598/--,--/46566/--
NAPD 1,Radiocarbon years BP,,,,--/106/--,--/958/--,--/1809/--,--/2235/--,--/3618/--,--/5108/--,--/5640/--,--/6491/--,--/7555/--,--/8726/--,--/10003/--,--/11386/--,--/12237/--,--/13089/--,--/14259/--,--/15110/--,--/16068/--,--/16919/--,--/17771/--,--/18728/--,--/19154/--,--/20431/--,--/21601/--,--/22240/--,--/23091/--,--/23517/--,--/24474/--,--/25751/--,--/26390/--,--/27560/--,--/28412/--,--/29369/--,--/30646/--,--/31498/--,--/32242/--,--/33519/--,--/34690/--,--/35967/--,--/37031/--,--/37776/--,--/39053/--,--/40010/--,--/41287/--,--/42511/--,--/43841/--,--/44692/--
Abies,TRSH,pollen,NISP,,,,,,,,,,,1,,,,,3,1,2,,,,,2,1,,1,3,1,1,12,2,3,2,1,3,,1,,,1,,,1,,1,,
Acer cf. A. negundo,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2
Amaranthaceae undiff.,UPHE,pollen,NISP,,13,29,9,5,13,7,13,17,8,12,20,12,18,14,4,6,11,27,8,12,11,3,16,7,11,5,6,10,15,9,17,20,25,19,37,19,13,21,12,27,20,16,15,19,15,49
Ambrosia-type,UPHE,pollen,NISP,,3,8,2,4,1,4,1,,1,5,5,3,3,2,2,4,4,5,4,7,5,2,4,8,13,6,4,2,3,1,2,5,6,6,5,7,12,1,12,16,9,12,11,13,18,27
