depth	min	max	median	mean
0	-46	-17	-31	-31
3	-32	44	-3	0
7	0	115	46	50
10	19	195	90	94
13	1326	2391	1942	1921
17	2585	4214	3547	3503
20	2885	5052	4080	4049
23	3907	5234	4655	4632
25	4274	5519	5060	5020
27	4424	5729	5210	5175
30	4594	6287	5397	5409
32	4727	6428	5553	5563
34	4825	6670	5697	5717
37	5005	6959	5901	5925
40	5138	7202	6090	6122
42	5271	7291	6203	6232
44	5358	7413	6313	6341
47	5511	7614	6488	6510
50	5642	7817	6655	6680
53	5755	7915	6787	6810
57	5930	8091	6967	6984
60	6049	8229	7096	7114
70	6498	8636	7552	7555
80	6956	8988	7990	7982
90	7428	9406	8430	8415
100	7871	9752	8854	8841
110	8364	10119	9292	9282
120	8693	10711	9669	9678
130	9021	11190	10055	10077
160	9979	12709	11220	11263
200	11325	14632	12787	12835
240	13003	16910	14836	14888
