"name","group","element","units","context","S57918","S57919","S57920","S57921","S57922","S57923","S57924","S57925","S57926","S57927","S57928","S57929","S57930","S57931","S57932","S57933","S57934","S57935","S57936","S57937","S57938","S57939","S57940","S57941","S57942","S57943","S57944","S57945","S57946","S57947","S57948","S57949"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,3,7,10,13,17,20,23,25,27,30,32,34,37,40,42,44,47,50,53,57,60,70,80,90,100,110,120,130,160,200,240
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,57918,57919,57920,57921,57922,57923,57924,57925,57926,57927,57928,57929,57930,57931,57932,57933,57934,57935,57936,57937,57938,57939,57940,57941,57942,57943,57944,57945,57946,57947,57948,57949
NAPD 1,Radiocarbon years BP,,,,--/-39/--,--/6/--,--/67/--,--/112/--,--/293/--,--/1439/--,--/2298/--,--/3157/--,--/3730/--,--/4572/--,--/5834/--,--/6676/--,--/7517/--,--/8780/--,--/9132/--,--/9246/--,--/9360/--,--/9532/--,--/9702/--,--/9874/--,--/10102/--,--/10272/--,--/10842/--,--/11412/--,--/11982/--,--/12552/--,--/13122/--,--/13692/--,--/14262/--,--/15972/--,--/18252/--,--/20532/--
SKOPE,Calibrated radiocarbon years BP,,,,-16/-31/-47,45/1/-32,123/58/12,197/108/43,1615/691/140,2847/1561/508,3620/2286/790,3851/3015/1905,4213/3501/2289,4390/3672/2473,4891/3912/2682,5076/4074/2859,5336/4236/3000,5650/4461/3202,5936/4676/3377,6043/4804/3506,6179/4931/3620,6371/5112/3793,6577/5285/3944,6696/5441/4120,6876/5648/4327,7040/5800/4466,7521/6307/4999,7957/6815/5542,8388/7323/6107,8838/7835/6650,9249/8341/7209,9765/8774/7584,10298/9190/7946,11809/10435/9004,13745/12091/10426,16087/14050/12048
Abies,TRSH,pollen,NISP,,1,7,,1,3,,,,,,,,,1,1,,,,,,,2,1,,,,,6,,1,16,5
Acer,TRSH,pollen,NISP,,,,,,1,,,,,,,,,,2,,,2,,,1,,1,2,1,6,,,,,2,
Agave,SUCC,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthaceae undiff.,UPHE,pollen,NISP,,66,43,41,48,67,39,64,67,82,60,42,48,35,29,24,19,15,23,35,24,22,25,21,83,29,31,,20,11,8,21,15
Ambrosia,UPHE,pollen,NISP,,1,8,1,1,8,4,3,18,23,9,42,36,32,16,9,19,110,12,2,7,15,3,2,2,15,6,2,2,3,,,1
Apiaceae,UPHE,pollen,NISP,,,,,,,,1,,,,2,1,,,1,1,2,,1,3,,2,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,10,8,9,3,19,3,6,11,27,8,58,60,47,119,26,100,78,181,146,164,147,67,100,81,97,54,72,56,31,22,21,12
Asteraceae undiff.,UPHE,pollen,NISP,,9,6,10,10,11,7,13,7,1,6,1,7,6,14,7,10,3,11,3,6,,4,16,9,3,18,8,6,4,10,21,7
Asteroideae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Author's pollen sum,LABO,,NISP,,302,300,301,301,300,303,302,300,300,306,301,300,300,303,251,300,300,310,302,300,304,304,301,340,305,367,302,202,100,107,203,202
Betula,TRSH,pollen,NISP,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,
