depth	min	max	median	mean
0.5	-70	-37	-56	-56
5.5	-65	-24	-46	-46
11.5	-56	-4	-35	-34
15.5	-46	6	-26	-24
20.5	-35	32	-9	-7
25.5	-18	204	42	59
30	-10	378	86	119
34.5	22	436	142	169
34.50001	22	436	142	169
35	22	436	142	169
35.00001	22	436	142	169
50	117	615	328	334
70	315	870	605	603
72	346	892	626	627
72.00001	346	892	626	627
73	346	892	626	627
73.00001	346	892	626	627
90	581	993	842	821
94	660	1014	884	866
94.00001	660	1014	884	866
94.5	660	1014	884	866
94.50001	660	1014	884	866
107.5	970	1121	1026	1028
107.50001	970	1121	1026	1028
108	970	1121	1026	1028
108.00001	970	1121	1026	1028
110	985	1166	1053	1057
130	1122	1532	1311	1317
132.5	1132	1588	1343	1350
132.50001	1132	1588	1343	1350
133	1132	1588	1343	1350
133.00001	1132	1588	1343	1350
136	1191	1611	1385	1391
136.00001	1191	1611	1385	1391
136.5	1191	1611	1385	1391
136.50001	1191	1611	1385	1391
145.7	1318	1717	1513	1514
145.70001	1318	1717	1513	1514
146	1318	1717	1513	1514
146.00001	1318	1717	1513	1514
150	1393	1748	1559	1562
170	1672	2590	1979	2015
183	1858	2880	2319	2334
183.00001	1858	2880	2319	2334
183.5	1858	2880	2319	2334
183.50001	1858	2880	2319	2334
186	1898	2944	2385	2395
186.00001	1898	2944	2385	2395
187.5	1898	2944	2385	2395
187.50001	1898	2944	2385	2395
189.5	1937	2978	2437	2445
189.50001	1937	2978	2437	2445
190	1937	2978	2437	2445
190.00001	1937	2978	2437	2445
197.5	2032	3165	2629	2627
197.50001	2032	3165	2629	2627
198.5	2032	3165	2629	2627
198.50001	2032	3165	2629	2627
205	2137	3245	2813	2773
205.00001	2137	3245	2813	2773
206	2137	3245	2813	2773
206.00001	2137	3245	2813	2773
210	2305	3312	2901	2869
214.5	2503	3364	3005	2985
214.50001	2503	3364	3005	2985
215.5	2503	3364	3005	2985
215.50001	2503	3364	3005	2985
229	2989	3574	3368	3347
229.00001	2989	3574	3368	3347
230	2989	3574	3368	3347
230.00001	2989	3574	3368	3347
234.8	3242	3601	3464	3453
234.80001	3242	3601	3464	3453
235.2	3242	3601	3464	3453
235.20001	3242	3601	3464	3453
243	3498	3685	3596	3593
243.00001	3498	3685	3596	3593
244	3498	3685	3596	3593
244.00001	3498	3685	3596	3593
247.2	3513	3730	3623	3622
247.20001	3513	3730	3623	3622
247.6	3513	3730	3623	3622
247.60001	3513	3730	3623	3622
250	3521	3785	3641	3644
259	3572	3899	3711	3720
259.00001	3572	3899	3711	3720
270	3572	3899	3711	3720
277	3572	3899	3711	3720
277.00001	3572	3899	3711	3720
285.4	3630	3988	3779	3786
285.40001	3630	3988	3779	3786
285.7	3630	3988	3779	3786
285.70001	3630	3988	3779	3786
290	3644	4033	3813	3819
295.6	3692	4069	3856	3864
295.60001	3692	4069	3856	3864
296.9	3692	4069	3856	3864
296.90001	3692	4069	3856	3864
305	3744	4147	3920	3927
305.00001	3744	4147	3920	3927
307.4	3744	4147	3920	3927
307.40001	3744	4147	3920	3927
309.6	3759	4171	3937	3945
309.60001	3759	4171	3937	3945
310	3759	4171	3937	3945
310.2	3759	4171	3937	3945
310.20001	3759	4171	3937	3945
330	3928	4339	4084	4099
330.00001	3928	4339	4084	4099
350	3928	4339	4084	4099
350.5	3928	4339	4084	4099
350.50001	3928	4339	4084	4099
352	3941	4351	4095	4111
352.00001	3941	4351	4095	4111
355.5	3941	4351	4095	4111
355.50001	3941	4351	4095	4111
355.7	3943	4352	4096	4113
355.70001	3943	4352	4096	4113
360	3943	4352	4096	4113
360.00001	3943	4352	4096	4113
369.5	4048	4543	4229	4245
369.50001	4048	4543	4229	4245
370	4048	4543	4229	4245
370.8	4048	4543	4229	4245
370.80001	4048	4543	4229	4245
372.5	4057	4607	4256	4274
372.50001	4057	4607	4256	4274
374.7	4057	4607	4256	4274
374.70001	4057	4607	4256	4274
378.5	4104	4713	4323	4343
378.50001	4104	4713	4323	4343
378.9	4104	4713	4323	4343
378.90001	4104	4713	4323	4343
386.6	4172	4933	4469	4494
386.60001	4172	4933	4469	4494
388.5	4172	4933	4469	4494
388.50001	4172	4933	4469	4494
390	4198	4958	4498	4522
392.3	4231	4995	4543	4564
392.30001	4231	4995	4543	4564
393	4231	4995	4543	4564
393.00001	4231	4995	4543	4564
400	4305	5176	4681	4695
400.00001	4305	5176	4681	4695
400.8	4305	5176	4681	4695
400.80001	4305	5176	4681	4695
403	4360	5204	4726	4742
403.00001	4360	5204	4726	4742
403.5	4360	5204	4726	4742
403.50001	4360	5204	4726	4742
404.2	4371	5210	4741	4757
404.20001	4371	5210	4741	4757
404.5	4371	5210	4741	4757
404.50001	4371	5210	4741	4757
410	4445	5323	4867	4874
413.3	4513	5380	4939	4947
413.30001	4513	5380	4939	4947
414.1	4513	5380	4939	4947
414.10001	4513	5380	4939	4947
418.5	4620	5456	5043	5045
418.50001	4620	5456	5043	5045
421	4620	5456	5043	5045
421.00001	4620	5456	5043	5045
421.5	4627	5465	5056	5056
421.50001	4627	5465	5056	5056
424	4627	5465	5056	5056
424.00001	4627	5465	5056	5056
430	4768	5578	5189	5185
434.4	4858	5626	5289	5275
434.40001	4858	5626	5289	5275
434.8	4858	5626	5289	5275
434.80001	4858	5626	5289	5275
436.7	4891	5676	5329	5313
436.70001	4891	5676	5329	5313
437.1	4891	5676	5329	5313
437.10001	4891	5676	5329	5313
450	5215	5830	5569	5554
452.3	5307	5847	5610	5598
452.30001	5307	5847	5610	5598
452.7	5307	5847	5610	5598
452.70001	5307	5847	5610	5598
470	5748	6096	5907	5913
486.5	5877	6427	6129	6134
486.50001	5877	6427	6129	6134
490	5877	6427	6129	6134
493.6	5877	6427	6129	6134
493.60001	5877	6427	6129	6134
499.5	5949	6508	6203	6209
499.50001	5949	6508	6203	6209
500.3	5949	6508	6203	6209
500.30001	5949	6508	6203	6209
507	6006	6616	6287	6292
507.00001	6006	6616	6287	6292
507.7	6006	6616	6287	6292
507.70001	6006	6616	6287	6292
509.4	6028	6631	6307	6313
509.40001	6028	6631	6307	6313
510	6028	6631	6307	6313
510.9	6028	6631	6307	6313
510.90001	6028	6631	6307	6313
511.8	6035	6640	6318	6324
511.80001	6035	6640	6318	6324
512.8	6035	6640	6318	6324
512.80001	6035	6640	6318	6324
516.9	6073	6691	6370	6373
516.90001	6073	6691	6370	6373
518	6073	6691	6370	6373
518.00001	6073	6691	6370	6373
523	6134	6749	6430	6432
523.00001	6134	6749	6430	6432
524	6134	6749	6430	6432
524.00001	6134	6749	6430	6432
530	6196	6829	6498	6501
533	6241	6868	6535	6539
533.00001	6241	6868	6535	6539
533.5	6241	6868	6535	6539
533.50001	6241	6868	6535	6539
535	6269	6879	6553	6559
535.00001	6269	6879	6553	6559
535.4	6269	6879	6553	6559
535.40001	6269	6879	6553	6559
539	6322	6916	6604	6607
539.00001	6322	6916	6604	6607
539.7	6322	6916	6604	6607
539.70001	6322	6916	6604	6607
543.5	6368	6975	6654	6657
543.50001	6368	6975	6654	6657
544	6368	6975	6654	6657
544.00001	6368	6975	6654	6657
550	6462	7067	6733	6740
550.6	6467	7085	6741	6748
550.60001	6467	7085	6741	6748
551.5	6467	7085	6741	6748
551.50001	6467	7085	6741	6748
561.2	6586	7261	6889	6899
561.20001	6586	7261	6889	6899
561.8	6586	7261	6889	6899
561.80001	6586	7261	6889	6899
570	6693	7437	7016	7028
572.5	6717	7486	7053	7066
572.50001	6717	7486	7053	7066
573.7	6717	7486	7053	7066
573.70001	6717	7486	7053	7066
589.2	6912	7766	7305	7315
589.20001	6912	7766	7305	7315
590	6912	7766	7305	7315
590.4	6912	7766	7305	7315
590.40001	6912	7766	7305	7315
610	7210	8074	7633	7640
613.7	7288	8141	7704	7708
613.70001	7288	8141	7704	7708
614	7288	8141	7704	7708
614.00001	7288	8141	7704	7708
627	7555	8380	7918	7936
627.00001	7555	8380	7918	7936
627.5	7555	8380	7918	7936
627.50001	7555	8380	7918	7936
629	7593	8405	7943	7964
629.00001	7593	8405	7943	7964
630	7593	8405	7943	7964
631.5	7593	8405	7943	7964
631.50001	7593	8405	7943	7964
638	7718	8526	8075	8090
638.00001	7718	8526	8075	8090
639	7718	8526	8075	8090
639.00001	7718	8526	8075	8090
639.5	7723	8538	8085	8099
639.50001	7723	8538	8085	8099
640.2	7723	8538	8085	8099
640.20001	7723	8538	8085	8099
640.9	7731	8556	8099	8113
640.90001	7731	8556	8099	8113
641.8	7731	8556	8099	8113
641.80001	7731	8556	8099	8113
644.2	7765	8613	8150	8160
644.20001	7765	8613	8150	8160
645	7765	8613	8150	8160
645.00001	7765	8613	8150	8160
650	7835	8718	8251	8258
655	7904	8845	8353	8359
665	8106	9093	8588	8592
670	8211	9179	8704	8704
675	8305	9308	8817	8817
675.7	8325	9319	8833	8833
675.70001	8325	9319	8833	8833
676.2	8325	9319	8833	8833
676.20001	8325	9319	8833	8833
677.6	8375	9334	8865	8866
677.60001	8375	9334	8865	8866
678.2	8375	9334	8865	8866
678.20001	8375	9334	8865	8866
678.6	8386	9339	8876	8875
678.60001	8386	9339	8876	8875
679.1	8386	9339	8876	8875
679.10001	8386	9339	8876	8875
680.6	8422	9370	8913	8910
680.60001	8422	9370	8913	8910
681	8422	9370	8913	8910
681.00001	8422	9370	8913	8910
682.9	8464	9413	8961	8955
682.90001	8464	9413	8961	8955
683.8	8464	9413	8961	8955
683.80001	8464	9413	8961	8955
685	8491	9438	8992	8983
690	8607	9548	9094	9090
695	8697	9637	9202	9190
698.3	8787	9682	9269	9259
698.30001	8787	9682	9269	9259
698.8	8787	9682	9269	9259
698.80001	8787	9682	9269	9259
705.9	9040	9805	9423	9412
705.90001	9040	9805	9423	9412
706	9040	9805	9423	9412
706.2	9040	9805	9423	9412
706.20001	9040	9805	9423	9412
710	9199	9869	9497	9497
715	9457	10009	9585	9613
716.3	9498	10036	9614	9643
716.30001	9498	10036	9614	9643
716.8	9498	10036	9614	9643
716.80001	9498	10036	9614	9643
725	9631	10628	9976	10021
730	9714	11127	10188	10253
731	9741	11174	10228	10291
731.00001	9741	11174	10228	10291
731.5	9741	11174	10228	10291
731.50001	9741	11174	10228	10291
734.4	9799	11261	10349	10401
734.40001	9799	11261	10349	10401
735	9799	11261	10349	10401
735.9	9799	11261	10349	10401
735.90001	9799	11261	10349	10401
739.7	9843	11409	10516	10546
739.70001	9843	11409	10516	10546
740.8	9843	11409	10516	10546
740.80001	9843	11409	10516	10546
741.5	9853	11440	10545	10573
741.50001	9853	11440	10545	10573
742.3	9853	11440	10545	10573
742.30001	9853	11440	10545	10573
745	9957	11514	10660	10685
750	10102	11682	10893	10893
755	10348	11850	11103	11103
765	10873	12159	11522	11519
770	11168	12278	11741	11716
790	11594	12751	12226	12216
810	12116	13064	12720	12692
830	13015	13262	13155	13152
850	13229	13666	13380	13397
870	13335	13986	13581	13600
