"sampleid","geochrontype","agetype","depth","thickness","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes"
347848,Lead-210,Calendar years BP,2.5,1,-50,10,10,false,,HL-2,,
347849,Lead-210,Calendar years BP,4.5,1,-47,10,10,false,,HL-3,,
347850,Lead-210,Calendar years BP,6.5,1,-45,10,10,false,,HL-4,,
347851,Lead-210,Calendar years BP,8.5,1,-42,10,10,false,,HL-5,,
347852,Lead-210,Calendar years BP,10.5,1,-39,10,10,false,,HL-6,,
347853,Lead-210,Calendar years BP,12.5,1,-37,10,10,false,,HL-7,,
347854,Lead-210,Calendar years BP,14.5,1,-34,10,10,false,,HL-8,,
347855,Lead-210,Calendar years BP,16.5,1,-32,10,10,false,,HL-9,,
347856,Lead-210,Calendar years BP,18.5,1,-29,10,10,false,,HL-10,,
347867,Lead-210,Calendar years BP,0.5,1,-52,10,10,false,,HL-1,,
347857,Carbon-14,Radiocarbon years BP,107.5,1,1125,15,15,false,,UCIAMS-43334,Picea needle fragments,
347858,Carbon-14,Radiocarbon years BP,242.5,1,3370,15,15,false,,UCIAMS-43335,~0.5 cm3 bulk,
347859,Carbon-14,Radiocarbon years BP,465.5,1,5130,40,40,false,,Beta-20488,wood,
347860,Carbon-14,Radiocarbon years BP,549.5,1,5841,116,116,false,,DAMS-26548,charcoal and organic fragments,
347861,Carbon-14,Radiocarbon years BP,634,2,7022,192,192,false,,DAMS-26549,Picea seed,
347862,Carbon-14,Radiocarbon years BP,717.5,1,8620,40,40,false,,Beta-20488,Picea needle fragments,
347863,Carbon-14,Radiocarbon years BP,763.5,1,12720,40,40,false,,UCIAMS-43336,~0.5 cm3 bulk,
347864,Carbon-14,Radiocarbon years BP,772.5,3,10380,140,140,false,,UCIAMS-51683,plant and charcoal fragments,
347865,Carbon-14,Radiocarbon years BP,834.5,3,11365,25,25,false,,UCIAMS-51684,plant and charcoal fragments,
347866,Carbon-14,Radiocarbon years BP,844.5,1,15900,50,50,false,,UCIAMS-37266,~0.5 cm3 bulk,
347868,Carbon-14,Radiocarbon years BP,155.5,1,1724,48,48,false,,DAMS-27222,,
347869,Carbon-14,Radiocarbon years BP,365.5,1,3724,34,34,false,,DAMS-27223,,
