"name","group","element","units","context","S347870","S347871","S347872","S347873","S347874","S347875","S347876","S347877","S347878","S347879","S347880","S347881","S347882","S347883","S347884","S347885","S347886","S347887","S347888","S347889","S347890","S347891","S347892","S347893","S347894","S347895","S347896","S347897","S347898","S347899","S347900","S347901","S347902","S347903","S347904","S347905","S347906","S347907","S347908","S347909","S347910","S347911","S347912","S347913","S347914","S347915","S347916","S347917","S347918","S347919","S347920","S347921","S347922","S347923","S347924","S347925","S347926","S347927","S347928","S347929","S347930"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0.5,5.5,11.5,15.5,20.5,25.5,30,50,70,90,110,130,150,170,190,210,230,250,270,290,310,330,350,370,390,410,430,450,470,490,510,530,550,570,590,610,630,650,655,665,670,675,685,690,695,706,710,715,725,730,735,745,750,755,765,770,790,810,830,850,870
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,347870,347871,347872,347873,347874,347875,347876,347877,347878,347879,347880,347881,347882,347883,347884,347885,347886,347887,347888,347889,347890,347891,347892,347893,347894,347895,347896,347897,347898,347899,347900,347901,347902,347903,347904,347905,347906,347907,347908,347909,347910,347911,347912,347913,347914,347915,347916,347917,347918,347919,347920,347921,347922,347923,347924,347925,347926,347927,347928,347929,347930
Anderson et al. 2018,Calibrated radiocarbon years BP,,,,-38/-52/-67,-37/-46/-56,-29/-38/-48,-24/-34/-43,2/-24/-49,49/-4/-55,96/23/-48,326/213/104,591/493/397,850/784/719,1088/1047/1006,1354/1278/1216,1670/1540/1451,2115/1969/1869,2569/2448/2359,3033/2951/2884,3461/3396/3352,3757/3693/3654,3836/3773/3728,3913/3844/3786,3986/3895/3820,4113/3995/3909,4121/4003/3917,4240/4116/4027,4474/4362/4266,4859/4748/4641,5207/5092/4978,5664/5548/5437,6049/5932/5831,6303/6164/6031,6506/6316/6141,6723/6473/6248,6953/6665/6414,7182/6918/6678,7421/7207/7010,7694/7524/7355,7959/7803/7642,8176/8021/7857,8246/8091/7929,8399/8241/8086,8482/8325/8175,8578/8417/8271,8719/8565/8429,8832/8685/8557,8960/8818/8701,9268/9149/9059,9400/9292/9215,9592/9496/9440,10052/9947/9850,10337/10209/10065,10562/10412/10230,11029/10822/10556,11350/11101/10777,11666/11374/10998,12243/11882/11421,12492/12108/11619,13127/12749/12261,13309/13059/12736,13276/13189/13093,13509/13274/13070,13856/13358/12954
Abies,TRSH,pollen,NISP,,18,9,11,4.5,2.5,6,2,5,12,1,1,,18.5,4.5,8.5,3,6.5,5.5625,5.5,10,4.5,11,3.5,1,3,17.5,2.5,8,,4,,18.5,10.5,7,5.5,9,,3.5,1,4.5,2,10,11,4,7,4.5,12,7,7,7.5,9,8.5,14,8,16.5,11.5,,2.5,1,7.5,
Alnus,TRSH,pollen,NISP,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,1,,,,,,2,,,,2,1,,,,,,2,,,1,,,
Amaranthaceae,UPHE,pollen,NISP,,14,23,18,26,47,23,26,22,20,19,15,32,16,19,36,15,33,22,22,19,16,26,17,34,29,17,16,17,35,24,28,16,17,35,29,29,32,16,26,19,17,27,34,18,13,19,16,19,15,11,21,9,10,18,8,14,1,16,5,11,6
Ambrosia,UPHE,pollen,NISP,,8,9,10,12,17,14,7,8,8,10,8,8,2,3,5,5,8,7,4,4,7,3,5,5,3,5,10,6,15,5,10,4,6,11,6,11,12,15,19,14,18,21,14,9,18,26,20,25,22,37,9,7,7,5,12,5,10,9,29,13,7
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,1,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,
Artemisia,UPHE,pollen,NISP,,16,12,12,33,34,43,19,38,48,59,56,63,41,56,35,45,35,49,10,47,46,24,31,36,51,34,67,51,41,16,59,68,37,80,34,42,60,56,60,56,59,63,49,50,46,59,68,49,61,61,60,77,56,54,84,88,106,114,123,87,110
Asteraceae undiff.,UPHE,pollen,NISP,,9,6,8,10,11,12,9,12,8,10,6,21,9,9,5,9,11,7,4,8,11,10,15,5,8,7,8,7,4,10,9,5,4,6,5,7,5,7,4,6,5,11,7,2,13,8,3,6,6,7,10,7,5,10,13,7,4,5,12,7,5
