depth	min	max	median	mean
0.5	-71	-36	-56	-55
5.5	-65	-25	-46	-46
11.5	-56	-5	-35	-34
15.5	-46	5	-26	-25
20.5	-35	28	-11	-8
25.5	-17	184	37	49
30	-10	338	79	100
50	101	673	338	347
70	322	864	591	592
90	568	996	835	819
110	981	1159	1051	1055
130	1092	1531	1284	1291
150	1345	1754	1547	1548
170	1641	2364	1921	1942
190	1935	2982	2391	2420
210	2354	3372	2860	2868
230	2805	3579	3369	3307
250	3488	3774	3624	3623
270	3568	3952	3739	3743
290	3662	4120	3852	3861
310	3758	4293	3969	3981
330	3857	4463	4086	4100
350	3978	4621	4197	4217
370	4118	4803	4347	4362
390	4296	5122	4651	4671
410	4578	5407	4985	4985
430	4894	5649	5317	5302
450	5271	5862	5621	5605
470	5721	6114	5899	5901
490	5883	6417	6117	6126
510	6050	6661	6332	6341
530	6246	6895	6553	6558
550	6503	7130	6767	6779
570	6700	7496	7066	7076
590	6965	7794	7353	7361
610	7234	8088	7648	7652
630	7561	8341	7924	7936
650	7887	8816	8305	8316
655	7968	8895	8403	8408
665	8118	9078	8593	8596
670	8184	9181	8696	8691
675	8295	9264	8800	8790
685	8495	9438	9002	8992
690	8575	9531	9110	9096
695	8727	9603	9204	9192
706	9006	9785	9411	9402
710	9103	9858	9483	9478
715	9425	9994	9579	9605
725	9635	10332	9888	9913
730	9674	10739	10049	10095
735	9788	10917	10253	10280
745	10087	11354	10658	10668
750	10191	11603	10858	10870
755	10465	11754	11085	11095
765	10927	12118	11520	11520
770	11145	12298	11741	11720
790	11654	12786	12274	12259
810	12111	13084	12716	12679
830	13023	13282	13174	13169
850	13231	13699	13393	13411
870	13338	13986	13590	13611
