depth	min	max	median	mean
0.5	-50	-43	-46	-46
10.5	24	218	81	83
20.5	116	365	272	256
30.5	360	697	547	541
40.5	661	1053	800	817
50.5	843	1356	1065	1073
60.5	1036	1591	1316	1318
70.5	1315	1787	1578	1568
80	1649	1983	1817	1818
90.5	1837	2405	2068	2084
100.5	2023	2706	2329	2335
110.5	2240	2958	2593	2595
120	2488	3184	2850	2845
130.5	2801	3379	3136	3125
140.5	3185	3552	3398	3390
150.5	3464	4201	3723	3756
160	3671	4681	4077	4108
170.5	3953	5116	4478	4495
180.5	4270	5497	4861	4872
190.5	4632	5864	5260	5254
200	4963	6217	5647	5628
210.5	5415	6537	6037	6018
230.5	6307	7073	6786	6755
240	6858	7330	7117	7115
250.5	7193	8209	7546	7584
260.5	7490	8802	8026	8060
270.5	7836	9338	8508	8531
280	8184	9830	8958	8968
290.5	8668	10283	9462	9471
300.5	9182	10678	9965	9968
310.5	9674	11028	10452	10424
320	10226	11323	10887	10856
330.5	11052	11648	11316	11338
340.5	11418	12346	11769	11797
350.5	11701	12837	12216	12231
360	12030	13260	12653	12652
370.5	12496	13612	13118	13100
380.5	13081	13931	13574	13559
390	13587	14419	13943	13954
