"name","group","element","units","context","S186185","S186186","S186187","S186188","S186189","S186190","S186191","S186192","S186193","S186194","S186195","S186196","S186197","S186198","S186199","S186200","S186201","S186202","S186203","S186204","S186205","S186206","S186207","S186208","S186209","S186210","S186211","S186212","S186213","S186214","S186215","S186216","S186217","S186218","S186219","S186220","S186221","S186222","S186223"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0.5,10.5,20.5,30.5,40.5,50.5,60.5,70.5,80,90.5,100.5,110.5,120,130.5,140.5,150.5,160,170.5,180.5,190.5,200,210.5,230.5,240,250.5,260.5,270.5,280,290.5,300.5,310.5,320,330.5,340.5,350.5,360,370.5,380.5,390
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,186185,186186,186187,186188,186189,186190,186191,186192,186193,186194,186195,186196,186197,186198,186199,186200,186201,186202,186203,186204,186205,186206,186207,186208,186209,186210,186211,186212,186213,186214,186215,186216,186217,186218,186219,186220,186221,186222,186223
SKOPE,Calibrated radiocarbon years BP,,,,-43/-46/-50,79/47/18,224/176/132,720/533/296,1069/846/699,1396/1098/842,1642/1356/1055,1829/1611/1332,1988/1851/1704,2468/2119/1862,2760/2377/2036,3010/2635/2263,3225/2881/2497,3426/3156/2822,3587/3415/3230,4170/3763/3487,4662/4118/3677,5169/4524/3961,5566/4897/4253,5930/5261/4592,6266/5618/4941,6582/6013/5339,7124/6769/6266,7301/7120/6911,8154/7587/7222,8778/8058/7512,9299/8536/7840,9798/8991/8185,10265/9483/8666,10688/9951/9166,11048/10391/9634,11368/10839/10152,11696/11325/10876,12239/11768/11469,12800/12213/11725,13250/12633/12050,13650/13096/12493,13982/13527/12966,14251/13940/13631
Anderson et al. 2008,Calibrated radiocarbon years BP,,,,-29/-45/-63,62/48/35,235/217/198,593/549/516,898/842/799,1149/1099/1048,1412/1355/1292,1682/1611/1528,1936/1855/1754,2197/2125/2043,2447/2383/2314,2700/2641/2579,2946/2886/2826,3217/3157/3094,3484/3417/3347,3851/3790/3724,4207/4146/4083,4603/4539/4477,4982/4912/4850,5365/5289/5220,5733/5645/5572,6141/6038/5959,6927/6788/6681,7306/7157/7042,7767/7643/7546,8215/8106/8014,8673/8569/8478,9117/9009/8915,9621/9494/9402,10124/9957/9862,10617/10420/10322,11082/10860/10755,11598/11346/11231,12007/11797/11688,12406/12248/12128,12827/12676/12536,13313/13149/12975,13796/13699/13393,14238/14149/13763
Abies,TRSH,pollen,NISP,,11,11,2,5,3,7,9,5,7,17,3,4,5,7,8,9,3,6,8,8,5,17,5,6,14,3,6,9,6,6,9,11,12,4,11,3,2,,1
Acer,TRSH,pollen,NISP,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,1,1,1,2,1,,2,,3,,1,,1,,,1,,,1,,,3,1,1,1,2,1,1,,2,2,1,1,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,27,31,28,28,24,31,28,25,24,24,22,31,44,30,28,38,30,31,34,27,19,25,29,34,24,32,25,36,27,28,19,18,14,24,3,6,19,5,12
Ambrosia,UPHE,pollen,NISP,,12,13,13,5,12,12,11,11,12,3,6,9,9,10,7,2,10,11,7,13,7,12,9,8,10,8,5,18,12,11,9,10,7,8,7,15,4,6,4
Apiaceae,UPHE,pollen,NISP,,1,,,,2,,,1,,,1,,,2,,1,1,,4,1,2,1,,2,1,1,,,,,,,1,,1,3,,,
Arceuthobium,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Artemisia,UPHE,pollen,NISP,,30,57,77,67,69,60,67,54,65,40,66,45,71,76,57,66,65,58,46,40,63,28,46,49,35,41,28,48,59,47,50,64,56,41,68,138,92,195,200
Asteraceae undiff.,UPHE,pollen,NISP,,6,15,15,6,11,15,10,10,9,10,10,12,10,10,11,7,12,16,10,5,13,10,10,7,9,8,3,6,11,6,7,12,5,2,16,17,11,15,19
Betula,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,
Botryococcus,ALGA,colony,NISP,,17,34,11,34,14,19,97,36,30,73,76,64,18,35,49,47,5,35,28,18,29,30,10,26,49,63,27,8,58,53,12,33,18,26,75,52,172,,
Brassicaceae,UPHE,pollen,NISP,,,,,,1,1,,,2,1,,,1,,,,,,1,,,,,,,,1,,1,,,3,1,2,,4,,3,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ceanothus,TRSH,pollen,NISP,,,1,,,,1,,1,,1,,,,1,1,,,,,,,,,,,,1,,,,,,,,,1,1,,
Cercocarpus-type,TRSH,pollen,NISP,,2,1,,,1,,,1,,2,2,1,,1,,2,,,1,,1,1,,2,,,1,,3,2,,3,3,,1,1,2,,
Cichorioideae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Cupressaceae,TRSH,pollen,NISP,,9,4,1,5,3,,1,,1,1,5,3,7,,2,,,1,2,1,3,1,7,2,2,3,6,9,1,5,3,4,,3,1,8,1,10,10
Cyperaceae,UPHE,pollen,NISP,,6,3,4,2,4,2,4,9,2,10,6,3,2,4,3,4,4,,7,3,8,5,,13,7,4,2,1,3,2,1,4,2,4,5,9,6,1,
Ephedra (branched folds),TRSH,pollen,NISP,,1,1,,,,,5,2,1,,2,1,,,,,,,1,1,,,,,1,,1,,,1,,,,,,,1,,
Ephedra (simple folds),TRSH,pollen,NISP,,,,,,,,1,,,,,,,2,1,,1,1,,,,,1,,,1,,,1,,,,,2,1,,,,
Ephedra undiff.,TRSH,pollen,NISP,,1,1,,,,,6,2,1,,2,1,,2,1,,1,1,1,1,1,,1,2,1,1,1,2,1,1,,,,2,1,,1,,
Ericaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
Eriogonum,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,1,3
Fabaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1
Glomeromycota,FUNG,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,1,,1,2,4,1,,1,1,4,2,3,4,1,1,5,2,1,1,3,2,,1,1,2,1,,3,2,1,,,1,1,7,8,8,13,12
Isoëtes,AQVP,spore,NISP,,3,1,1,2,2,25,43,151,45,69,173,202,250,215,203,277,223,228,256,144,210,99,308,126,270,125,140,90,69,101,42,,11,101,2,,,,
Lamiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,2,,,,,6,7,
Liliaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,
Lycopodium spike,LABO,counted,number,,219,30,94,61,73,72,53,78,49,57,47,39,65,38,43,37,53,63,46,41,35,43,88,33,58,47,58,28,49,29,61,56,45,72,128,94,126,106,76
Lycopodium tablets,LABO,concentration,grains/tablet,,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679,10679
Lycopodium tablets,LABO,quantity added,number,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Pediastrum,ALGA,colony,NISP,,16,195,42,114,191,70,35,83,17,38,57,30,119,43,17,29,62,15,3,13,28,25,9,32,34,15,8,7,160,18,7,8,8,20,6,1,2,,
Phacelia,UPHE,pollen,NISP,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,68,53,61,64,45,83,59,56,63,45,54,56,34,58,71,58,49,70,67,73,66,115,74,55,82,93,85,67,65,76,79,43,41,63,94,49,63,13,16
Pinus subg. Pinus,TRSH,pollen,NISP,,10,4,7,19,5,12,15,9,10,10,12,14,9,5,8,8,17,7,13,14,19,15,17,9,10,14,14,12,6,14,24,21,31,18,25,12,24,7,
Pinus subg. Strobus (large),TRSH,pollen,NISP,,10,1,3,4,8,1,3,3,7,3,6,6,2,5,2,3,3,1,13,12,4,7,4,7,1,42,20,1,6,5,2,5,5,4,3,,6,6,
