depth	min	max	median	mean
1	-39	125	28	33
9	8	755	244	281
15	113	983	438	465
19	162	1172	566	587
25	412	1381	749	785
33	718	1865	1195	1218
181	9037	15694	12172	12258
191	9679	16519	12897	12975
209	10765	17835	14150	14248
215	11160	18285	14577	14669
227	11836	19307	15393	15470
235	12263	19950	15917	15986
239	12505	20249	16177	16243
253	13297	21271	17094	17120
263	13767	22040	17711	17739
270	14150	22450	18125	18176
274	14373	22730	18383	18413
288	15022	23842	19216	19276
292	15184	24110	19471	19525
295.5	15448	24361	19674	19740
