"name","group","element","units","context","S24346","S24347","S24348","S24349","S24350","S24351","S24352","S24353","S24354","S24355","S24356","S24357","S24358","S24359","S24360","S24361","S24362","S24363","S24364","S24365"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,9,15,19,25,33,181,191,209,215,227,235,239,253,263,270,274,288,292,295.5
Thickness,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,24346,24347,24348,24349,24350,24351,24352,24353,24354,24355,24356,24357,24358,24359,24360,24361,24362,24363,24364,24365
NAPD 1,Radiocarbon years BP,,,,--/26/--,--/233/--,--/388/--,--/491/--,--/647/--,--/1091/--,--/11887/--,--/12590/--,--/13856/--,--/14278/--,--/15122/--,--/15684/--,--/15965/--,--/16950/--,--/17653/--,--/18145/--,--/18426/--,--/19410/--,--/19691/--,--/19938/--
Abies,TRSH,pollen,NISP,,,,,,,,,1,,1,,2,1,,1,,,3,9,3
Acer cf. A. negundo,TRSH,pollen,NISP,,,,1,,,,1,,,,,,,2,,,,,,
Amaranthaceae undiff.,UPHE,pollen,NISP,,4,5,3,7,1,4,1,2,2,6,1,4,5,,,1,1,3,2,4
Ambrosia-type,UPHE,pollen,NISP,,15,16,7,6,1,3,2,3,4,9,2,4,2,3,2,4,,1,3,4
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,1,,4,,,,2,1,,4
Artemisia,UPHE,pollen,NISP,,6,1,14,8,5,2,7,12,20,35,21,30,53,19,19,5,20,13,9,24
Asteroideae undiff.,UPHE,pollen,NISP,,19,57,26,39,57,13,41,24,31,46,20,19,47,13,20,7,24,20,22,39
Berberidaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1
Botryococcus,ALGA,colony,NISP,,,,,,,,5,7,7,3,1,12,3,41,16,9,5,11,19,
Brassicaceae,UPHE,pollen,NISP,,2,,,,2,,11,1,,2,,2,,7,2,,,,1,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,2,1,,13,3,5,13,3,8,1,1,3,4,4
