depth	min	max	median	mean
0	-48	-36	-42	-42
20	47	823	332	358
40	274	1332	737	749
60	547	1735	1107	1113
80	882	2077	1484	1487
95	1185	2322	1790	1779
120	1722	2722	2292	2263
140	2222	3007	2673	2655
160	2742	3626	3059	3092
180	3045	4328	3560	3593
200	3398	4914	4086	4104
220	3792	5467	4591	4602
240	4227	5978	5098	5094
260	4705	6405	5610	5594
280	5266	6796	6123	6097
300	5851	7149	6639	6602
320	6625	7456	7142	7112
340	7034	7984	7512	7508
360	7332	8415	7848	7857
380	7641	8824	8201	8207
400	7942	9196	8553	8558
420	8268	9570	8916	8913
440	8623	9917	9275	9271
460	9034	10196	9630	9622
480	9437	10491	9985	9980
500	9925	10871	10316	10331
520	10325	11366	10690	10731
540	10591	11942	11129	11166
560	10864	12515	11555	11600
580	11177	13071	11984	12027
600	11529	13609	12420	12458
623	11924	14117	12916	12941
640	12257	14577	13275	13308
660	12597	15018	13699	13734
680	12986	15540	14123	14162
700	13357	16038	14553	14588
720	13703	16462	14969	14995
