depth	min	max	median	mean
1	-3	329	84	105
2	4	665	179	221
3	12	1002	274	337
5	28	1679	464	569
8	53	2693	749	917
10	70	3369	939	1149
11	151	3502	1060	1261
14	291	3971	1425	1595
14.2	298	3991	1451	1617
16.8	372	4463	1731	1906
18	402	4703	1855	2040
19.2	439	5007	1967	2173
21	580	5320	2170	2376
21.8	656	5392	2274	2466
23	762	5497	2427	2602
24.2	846	5593	2570	2738
26	936	5778	2797	2943
28	1046	6069	3036	3169
28.5	1075	6141	3092	3226
31	1256	6536	3373	3509
32.5	1379	6682	3551	3678
33.5	1478	6775	3676	3791
38.2	1784	7533	4203	4320
44	2308	8256	4902	4995
49.8	2745	9013	5633	5681
55.5	3304	9637	6269	6298
61.2	3777	10328	6879	6917
63	4004	10478	7093	7118
67	4354	10801	7538	7564
70	4581	11201	7863	7899
72.8	4982	11397	8187	8203
78.5	5449	12100	8818	8824
84.5	6174	12649	9489	9466
90	6672	13183	10102	10050
93.5	7119	13384	10460	10431
96	7409	13569	10741	10703
97.8	7581	13739	10947	10898
101.8	8103	14061	11394	11333
103.5	8343	14157	11587	11518
107.2	8722	14393	12014	11921
109	8962	14574	12211	12117
114.8	9794	14955	12864	12762
120.5	10465	15389	13553	13398
126.2	11715	15632	14161	14028
132	12808	15951	14778	14679
137.8	14229	16190	15394	15347
143.5	15427	16558	15974	15978
145.2	15648	16717	16158	16161
146.5	15750	16912	16288	16302
147.5	15800	17110	16386	16409
150.8	15978	17823	16671	16747
152.5	16105	17903	16840	16891
154	16190	17996	16997	17019
155.8	16255	18158	17172	17172
158.5	16348	18442	17415	17401
161	16576	18719	17621	17621
164	17057	18806	17888	17898
164.8	17167	18844	17959	17971
166.2	17325	18917	18083	18100
168.8	17532	19129	18341	18340
171.2	17908	19326	18577	18576
174	18218	19647	18867	18867
176.5	18345	20296	19072	19127
181.5	18550	21495	19502	19636
192	19076	23301	20498	20657
197.2	19342	24122	21021	21184
207.5	19927	25574	22032	22207
220	20686	27475	23294	23479
