depth	min	max	median	mean
1	-5	237	58	74
5	22	1222	331	414
10	169	1912	767	837
15	405	2471	1205	1263
20	692	2948	1642	1688
25	1005	3413	2097	2128
30	1337	3878	2530	2550
35	1721	4302	2978	2983
40	2113	4704	3426	3429
45	2554	5094	3873	3862
50	3020	5451	4319	4295
55	3502	5742	4738	4704
57	3782	5842	4900	4872
60	4051	6058	5153	5123
65	4617	6369	5558	5529
70	4922	6868	5911	5894
75	5219	7312	6270	6263
80	5551	7717	6603	6614
85	5881	8125	6950	6972
90	6193	8446	7305	7318
95	6539	8771	7680	7677
100	6944	9078	8050	8042
105	7292	9374	8410	8393
110	7731	9628	8787	8752
115	8143	9872	9147	9110
120	8664	10102	9499	9470
125	9261	10377	9842	9830
130	9760	10912	10228	10255
140	10315	12719	11180	11266
