"name","group","element","units","context","S35300","S35301","S35302","S35303","S35304","S35305","S35306","S35307","S35308","S35309","S35310","S35311","S35312","S35313","S35314","S35315","S35316","S35317","S35318","S35319","S35320","S35321","S35322","S35323","S35324","S35325","S35326","S35327","S35328"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,5,10,15,20,25,30,35,40,45,50,55,57,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,140
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,35300,35301,35302,35303,35304,35305,35306,35307,35308,35309,35310,35311,35312,35313,35314,35315,35316,35317,35318,35319,35320,35321,35322,35323,35324,35325,35326,35327,35328
NAPD 1,Radiocarbon years BP,,,,--/65/--,--/370/--,--/751/--,--/1132/--,--/1512/--,--/1893/--,--/2274/--,--/2655/--,--/3036/--,--/3417/--,--/3798/--,--/4178/--,--/4331/--,--/4559/--,--/4940/--,--/5258/--,--/5577/--,--/5896/--,--/6214/--,--/6533/--,--/6851/--,--/7170/--,--/7488/--,--/7807/--,--/8126/--,--/8444/--,--/8763/--,--/9081/--,--/9718/--
Abies,TRSH,pollen,NISP,,8,9,12,15,22,19,20,19,8,21,18,12,10,7,7,9,10,12,14,12,12,15,18,19,19,19,18,12,1
Abronia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Alnus,TRSH,pollen,NISP,,,,1,,1,1,,,,,,,,1,1,1,1,2,,1,,1,1,1,1,,,,
Amaranthaceae undiff.,UPHE,pollen,NISP,,18,16,17,4,18,32,33,15,6,11,14,12,14,15,16,15,15,22,14,16,14,24,9,20,8,12,9,13,10
Ambrosia-type,UPHE,pollen,NISP,,7,9,16,7,9,14,15,4,9,12,4,4,4,11,16,4,7,9,8,11,10,8,11,14,4,5,9,8,15
Apiaceae,UPHE,pollen,NISP,,1,8,2,4,14,,15,1,5,3,2,2,,2,4,,2,2,2,1,,,,,1,,1,,
Artemisia,UPHE,pollen,NISP,,25,28,34,29,45,46,35,26,30,29,26,23,27,26,28,31,22,29,26,32,20,23,22,21,16,17,32,43,88
Asteraceae undiff.,UPHE,pollen,NISP,,10,4,9,10,20,22,16,4,9,7,5,4,7,4,9,7,8,8,5,1,4,5,1,5,,4,1,,1
Betula,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,1,,2,1,,,,,1,,,1,,,
Brassicaceae,UPHE,pollen,NISP,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,
Caltha-type,UPHE,pollen,NISP,,2,5,9,4,9,8,8,2,3,3,2,,2,,,2,,,3,,,2,,,2,,2,2,1
