depth	min	max	median	mean
0	-50	-21	-35	-36
5	-38	70	-9	-2
10	-33	174	17	32
22	3	311	102	117
42	80	505	240	255
61	177	664	372	385
80	281	805	507	518
100	398	973	653	660
118	513	1101	778	784
138	642	1243	916	922
158	784	1389	1049	1057
185	988	1580	1225	1238
215	1242	1798	1421	1443
230	1386	1929	1538	1568
240	1461	2111	1694	1720
250	1553	2286	1850	1873
257	1646	2411	1968	1986
265	1753	2556	2107	2121
285	2037	2847	2437	2438
300	2243	3062	2673	2671
315	2538	3219	2901	2897
330	2891	3379	3115	3121
337	3027	4103	3400	3446
343	3178	4610	3681	3738
350	3320	5077	4047	4095
355	3586	5247	4313	4352
360	3709	5535	4600	4610
365	3926	5669	4854	4837
370	4045	5904	5101	5063
377	4608	6071	5457	5424
385	5291	6270	5861	5838
390	5633	6393	6132	6097
395	6060	6517	6329	6324
400	6235	6984	6525	6551
404	6341	7172	6670	6692
410	6425	7610	6868	6903
415	6579	7757	7060	7088
422	6757	8075	7316	7347
430	6933	8361	7651	7649
435	7174	8458	7856	7841
440	7307	8653	8065	8034
445	7606	8725	8254	8231
450	7759	8866	8472	8428
457	8384	8947	8672	8676
465	8550	9014	8782	8787
465.00001	8550	9014	8782	8787
466	8551	9015	8784	8788
475	8580	9061	8811	8818
485	8625	9136	8866	8871
515	8748	9323	9022	9026
550	8897	9535	9206	9207
585	9052	9733	9378	9384
615	9180	9900	9528	9536
650	9342	10094	9712	9713
685	9514	10279	9889	9891
715	9665	10435	10043	10043
750	9831	10616	10224	10224
785	10003	10796	10411	10407
815	10152	10946	10565	10563
850	10342	11113	10746	10740
885	10496	11262	10903	10898
887	10498	11264	10905	10900
887.00001	10498	11264	10905	10900
900	10633	11501	11060	11063
915	10830	11771	11302	11300
930	11036	12044	11542	11541
950	11347	12334	11872	11865
975	11781	12682	12273	12262
985	11973	12801	12430	12418
990	12050	12877	12510	12496
995	12205	12917	12586	12577
1000	12286	12979	12670	12659
1005	12465	13016	12741	12741
1015	12724	13120	12892	12903
