"name","group","element","units","context","S35438","S35439","S35440","S35441","S35442","S35443","S35444","S35445","S35446","S35447","S35448","S35449","S35450","S35451","S35452","S35453","S35454","S35455","S35456","S35457","S35458","S35459","S35460","S35461","S35462","S35463","S35464","S35465","S35466","S35467","S35468","S35469","S35470","S35471","S35472","S35473","S35474","S35475","S35476","S35477","S35478","S35479","S35480","S35481","S35482","S35483","S35484","S35485","S35486","S35487","S35488","S35489","S35490","S35491","S35492","S35493","S35494","S35495","S35496","S35497","S35498","S35499","S35500","S35501","S35502","S35503","S35504","S35505","S35506","S35507"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,5,10,22,42,61,80,100,118,138,158,185,215,230,240,250,257,265,285,300,315,330,337,343,350,355,360,365,370,377,385,390,395,400,404,410,415,422,430,435,440,445,450,457,466,475,485,515,550,585,615,650,685,715,750,785,815,850,885,900,915,930,950,975,985,990,995,1000,1005,1015
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,35438,35439,35440,35441,35442,35443,35444,35445,35446,35447,35448,35449,35450,35451,35452,35453,35454,35455,35456,35457,35458,35459,35460,35461,35462,35463,35464,35465,35466,35467,35468,35469,35470,35471,35472,35473,35474,35475,35476,35477,35478,35479,35480,35481,35482,35483,35484,35485,35486,35487,35488,35489,35490,35491,35492,35493,35494,35495,35496,35497,35498,35499,35500,35501,35502,35503,35504,35505,35506,35507
SKOPE,Calibrated radiocarbon years BP,,,,-21/-35/-51,69/-2/-41,173/30/-40,292/112/-3,483/250/73,650/381/157,787/508/257,944/646/369,1074/772/494,1226/909/627,1380/1050/768,1556/1234/972,1767/1437/1230,1891/1559/1369,2099/1706/1444,2288/1861/1535,2382/1965/1615,2527/2087/1703,2837/2388/1955,3055/2610/2154,3220/2841/2461,3415/3074/2794,3912/3351/2989,4373/3629/3131,5014/4000/3249,5176/4243/3457,5497/4487/3566,5622/4741/3857,5848/4996/4009,6045/5374/4419,6276/5776/5066,6412/6025/5380,6480/6269/5977,6834/6517/6232,7054/6671/6349,7579/6902/6418,7743/7106/6558,8105/7386/6721,8438/7700/6914,8541/7880/7116,8710/8060/7238,8788/8252/7530,8928/8443/7687,9010/8723/8408,9097/8851/8614,9124/8876/8639,9193/8926/8673,9397/9084/8801,9612/9263/8948,9802/9441/9107,9974/9593/9248,10156/9772/9406,10346/9950/9577,10501/10103/9717,10681/10283/9882,10864/10461/10060,11012/10610/10211,11185/10790/10385,11350/10965/10571,11389/10994/10593,11676/11229/10789,11973/11471/10970,12291/11788/11253,12629/12188/11680,12761/12349/11861,12838/12430/11933,12886/12511/12058,12954/12593/12147,12992/12675/12289,13089/12838/12577
Davis and Shafer 1992,Radiocarbon years BP,,,,--/0/--,--/34/--,--/68/--,--/149/--,--/285/--,--/413/--,--/542/--,--/678/--,--/800/--,--/935/--,--/1071/--,--/1254/--,--/1457/--,--/1590/--,--/1719/--,--/1849/--,--/1939/--,--/2043/--,--/2302/--,--/2496/--,--/2691/--,--/2885/--,--/3171/--,--/3416/--,--/3702/--,--/3906/--,--/4110/--,--/4315/--,--/4519/--,--/4805/--,--/5132/--,--/5336/--,--/5540/--,--/5716/--,--/5856/--,--/6067/--,--/6243/--,--/6489/--,--/6770/--,--/6946/--,--/7121/--,--/7297/--,--/7473/--,--/7719/--,--/8004/--,--/8036/--,--/8072/--,--/8180/--,--/8306/--,--/8432/--,--/8540/--,--/8666/--,--/8792/--,--/8900/--,--/9027/--,--/9153/--,--/9261/--,--/9387/--,--/9513/--,--/9668/--,--/9838/--,--/10009/--,--/10236/--,--/10520/--,--/10634/--,--/10691/--,--/10748/--,--/10804/--,--/10861/--,--/10975/--
Abies,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,1,,2,,,1,2,,,1,,1
Acacia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,3,,,,,,,,,1,6,,1,3,,,,7,,,,,,,,,,,,,,
Acer negundo,TRSH,pollen,NISP,,5,2,3,,,,1,,,,2,1,,,,6,,,,,,,,,,,,,,,4,,,3,,,,,,,,,,,,,,,1,,1,1,,,,2,,2,2,,,,,,,,,,,
Acer undiff.,TRSH,pollen,NISP,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
Agave,SUCC,pollen,NISP,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allionia,UPHE,pollen,NISP,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,
Alnus,TRSH,pollen,NISP,,6,15,10,8,12,10,8,7,14,10,10,11,29,2,6,6,7,,18,2,17,8,2,2,6,4,4,2,8,1,3,1,12,5,2,13,7,8,6,1,,2,4,5,10,6,4,11,17,2,16,14,1,8,10,25,13,19,4,8,,3,2,1,6,1,,2,3,1
Amaranthaceae undiff.,UPHE,pollen,NISP,,64,71,56,51,58,76,35,86,88,62,77,113,90,46,46,127,70,80,67,38,54,55,74,92,130,70,103,190,154,202,203,199,143,121,150,84,112,55,59,45,71,86,83,34,35,25,75,25,24,8,39,18,13,6,13,12,16,11,11,9,8,19,4,7,19,6,9,4,7,5
Ambrosia,UPHE,pollen,NISP,,16,12,9,13,32,14,21,7,19,4,9,15,4,18,14,15,17,12,21,8,9,6,6,9,13,2,8,14,8,7,5,8,11,6,20,4,16,7,6,3,4,6,4,12,28,8,18,7,12,12,5,13,10,10,13,15,14,12,11,11,9,10,3,10,6,10,10,13,14,4
Apiaceae,UPHE,pollen,NISP,,3,5,3,,,3,,5,,2,2,8,52,20,10,27,7,1,6,10,5,,2,5,6,1,12,2,,13,13,8,21,33,72,25,17,2,,,,,,,3,3,1,2,11,3,6,123,1,,49,154,67,46,118,42,14,48,73,33,,8,5,16,9,
Arceuthobium,TRSH,pollen,NISP,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,
