depth	min	max	median	mean
0	-50	-21	-36	-36
5	-39	72	-7	0
10	-33	178	21	35
22	3	299	104	115
42	89	483	242	254
61	184	639	372	384
80	286	800	504	515
100	394	954	644	650
118	508	1088	767	774
138	640	1237	905	912
158	784	1375	1042	1051
185	980	1569	1224	1233
215	1242	1777	1419	1442
230	1384	1926	1541	1573
240	1474	2139	1706	1735
250	1572	2348	1870	1891
257	1657	2456	1980	2001
265	1751	2592	2108	2124
285	2025	2867	2425	2433
300	2249	3072	2671	2669
315	2560	3250	2893	2899
330	2892	3442	3113	3133
337	3042	4195	3411	3470
343	3177	4631	3660	3740
350	3302	5018	3971	4030
355	3512	5194	4253	4286
360	3619	5612	4511	4541
365	3903	5724	4809	4813
370	4009	5931	5120	5084
377	4607	6091	5508	5470
385	5316	6282	5901	5869
390	5603	6404	6137	6102
395	6063	6523	6333	6327
400	6228	7032	6517	6551
404	6345	7160	6676	6699
410	6435	7585	6896	6921
415	6579	7735	7102	7117
422	6741	8068	7374	7383
430	6946	8337	7668	7662
435	7129	8448	7870	7849
440	7276	8643	8074	8035
445	7595	8707	8247	8220
450	7748	8851	8443	8404
457	8382	8940	8669	8668
465	8554	9013	8784	8786
465.00001	8554	9013	8784	8786
466	8555	9014	8786	8787
475	8581	9059	8815	8817
485	8629	9128	8863	8868
515	8755	9306	9015	9020
550	8896	9524	9195	9200
585	9062	9728	9376	9382
615	9200	9889	9535	9536
650	9361	10086	9710	9711
685	9529	10255	9887	9888
715	9669	10423	10045	10045
750	9826	10608	10226	10222
785	10005	10792	10405	10403
815	10162	10942	10561	10557
850	10331	11112	10739	10735
885	10489	11250	10899	10892
887	10491	11252	10901	10894
887.00001	10491	11252	10901	10894
900	10619	11494	11052	11050
915	10837	11753	11291	11291
930	11042	12037	11529	11530
950	11350	12350	11858	11858
975	11781	12679	12268	12262
985	11982	12795	12425	12421
990	12068	12865	12512	12502
995	12188	12905	12587	12581
1000	12272	12968	12672	12659
1005	12454	13008	12745	12741
1015	12723	13110	12895	12903
