"name","group","element","units","context","S41283","S41284","S41285","S41286","S41287","S41288","S41289","S41290","S41291","S41292","S41293","S41294","S41295","S41296","S41297","S41298","S41299","S41300","S41301","S41302","S41303","S41304","S41305","S41306","S41307","S41308"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,30,60,90,120,150,180,210,225,270,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,592
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,41283,41284,41285,41286,41287,41288,41289,41290,41291,41292,41293,41294,41295,41296,41297,41298,41299,41300,41301,41302,41303,41304,41305,41306,41307,41308
NAPD 1,Radiocarbon years BP,,,,--/-39/--,--/883/--,--/1805/--,--/2662/--,--/3387/--,--/3865/--,--/3996/--,--/4127/--,--/4193/--,--/4390/--,--/4521/--,--/4609/--,--/4696/--,--/4899/--,--/5217/--,--/5534/--,--/5852/--,--/6170/--,--/6488/--,--/6806/--,--/7123/--,--/7441/--,--/7759/--,--/8077/--,--/8395/--,--/8585/--
SKOPE,Calibrated radiocarbon years BP,,,,-19/-30/-40,1746/935/175,2550/1881/1114,3315/2785/2365,4116/3605/3013,4410/4169/3947,4680/4377/4090,4925/4586/4260,5035/4691/4350,5347/5004/4655,5534/5213/4878,5653/5352/5038,5835/5491/5225,6051/5697/5384,6441/5968/5551,6760/6239/5740,7060/6511/5973,7324/6782/6233,7555/7053/6520,7760/7324/6846,7940/7596/7226,8031/7801/7607,8119/7882/7673,8220/7963/7747,8329/8049/7825,8631/8221/7879
Abies,TRSH,pollen,NISP,,2,6,6,6,1,7,4,2,5,3,3,5,1,3,2,3,2,2,2,3,2,12,2,1,1,3
Acer,TRSH,pollen,NISP,,,,,,,,1,,1,,,1,3,1,,,2,6,4,3,2,3,,1,1,1
Alnus,TRSH,pollen,NISP,,3,,,,,,,,1,,,,1,1,,,1,,,,,,1,,,
Amaranthaceae undiff.,UPHE,pollen,NISP,,6,4,20,30,28,34,8,22,57,33,21,17,12,9,13,23,32,13,25,25,17,12,25,31,26,25
