depth	min	max	median	mean
0	-44	-16	-30	-30
30	295	1645	886	910
60	1170	2433	1901	1872
90	2363	3234	2752	2764
120	3021	4020	3590	3573
150	3706	4526	4172	4162
170	3867	4770	4346	4342
170.00001	3972	4910	4433	4435
180	4048	4988	4503	4509
210	4268	5202	4716	4726
225	4392	5316	4825	4835
270	4723	5692	5151	5164
300	4955	5920	5358	5380
320	5121	6058	5497	5527
340	5299	6206	5643	5673
360	5466	6396	5831	5853
380	5631	6635	6047	6069
400	5806	6846	6270	6288
420	5985	7093	6486	6505
440	6187	7316	6707	6723
460	6385	7532	6929	6936
480	6601	7737	7143	7152
500	6821	7941	7362	7368
520	7013	8139	7546	7558
540	7189	8307	7684	7707
560	7362	8477	7823	7854
580	7573	8654	7951	8006
592	7662	8815	8074	8125
