depth	min	max	median	mean
0	-44	-15	-30	-30
30	293	1656	897	914
60	1132	2415	1880	1854
90	2362	3290	2756	2770
120	3046	4034	3606	3584
150	3808	4545	4209	4201
170	3931	4706	4327	4328
170.00001	3931	4706	4327	4328
180	4009	4789	4409	4406
210	4231	5039	4633	4634
225	4351	5156	4745	4747
270	4684	5530	5078	5086
300	4923	5779	5297	5310
320	5090	5948	5443	5464
340	5282	6107	5578	5615
360	5450	6282	5769	5796
380	5611	6519	5997	6016
400	5801	6778	6229	6243
420	5992	7011	6451	6461
440	6185	7245	6673	6683
460	6371	7493	6891	6901
480	6595	7702	7121	7125
500	6813	7917	7346	7347
520	7025	8098	7531	7540
540	7194	8261	7668	7688
560	7386	8430	7809	7839
580	7579	8603	7932	7988
592	7671	8765	8061	8109
