"name","group","element","units","context","S61597","S61598","S61599","S61600","S61601","S61602","S61603","S61604","S61605","S61606","S61607","S61608","S61609","S61610","S61611","S61612","S61613","S61614"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,20.5,25.5,30.5,35.5,40.5,45.5,50.5,55.5,60.5,65.5,70.5,75.5,80.5,85.5,90.5,95.5,100.5,105.5
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,61597,61598,61599,61600,61601,61602,61603,61604,61605,61606,61607,61608,61609,61610,61611,61612,61613,61614
Anderson 1997,Radiocarbon years BP,,,,--/846/--,--/1061/--,--/1276/--,--/1492/--,--/1707/--,--/1922/--,--/2137/--,--/2353/--,--/2568/--,--/2783/--,--/2999/--,--/3214/--,--/3429/--,--/3644/--,--/3860/--,--/4075/--,--/4290/--,--/4506/--
NAPD 1,Radiocarbon years BP,,,,--/1315/--,--/1397/--,--/1479/--,--/1561/--,--/1643/--,--/1725/--,--/1807/--,--/1950/--,--/2208/--,--/2465/--,--/2723/--,--/3081/--,--/4118/--,--/5482/--,--/6845/--,--/8209/--,--/9573/--,--/10936/--
Abies,TRSH,pollen,NISP,,1,2,2,1,,,1,2,,1,,1,,2,7,3,2,3
Acer,TRSH,pollen,NISP,,,,1,,,,,,,,1,,,,,,1,1
Alnus,TRSH,pollen,NISP,,2,1,,,1,,,,,,2,,,1,1,1,1,2
Amaranthaceae undiff.,UPHE,pollen,NISP,,7,9,6,12,10,7,7,5,7,12,10,4,7,8,20,9,9,15
Ambrosia,UPHE,pollen,NISP,,23,8,10,14,8,13,16,9,11,10,7,11,9,14,9,10,21,15
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,1,,1,1,1,,,1
Arceuthobium,TRSH,pollen,NISP,,,,1,,,,,2,1,,,,,2,,,,
Artemisia,UPHE,pollen,NISP,,8,7,8,5,11,6,12,10,7,11,11,17,18,14,18,20,17,11
Asteraceae undiff.,UPHE,pollen,NISP,,4,5,4,5,9,6,5,7,4,6,8,6,8,11,11,26,16,20
Bistorta bistortoides,UPHE,pollen,NISP,,,,,1,,,,,,,,,,1,,,,
Botryococcus,ALGA,colony,NISP,,4,21,6,14,9,9,4,11,16,21,8,9,7,16,22,17,19,26
Brassicaceae,UPHE,pollen,NISP,,,,1,,,,,,,,,1,3,,5,,1,4
Campanulaceae,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,
Caryophyllaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,1,,,,1,,1,,
Ceanothus,TRSH,pollen,NISP,,1,,,6,,1,,,,1,,,2,2,3,1,2,2
Cercocarpus,TRSH,pollen,NISP,,,,,,,,,1,2,4,,1,,2,2,,2,6
Cupressaceae,TRSH,pollen,NISP,,5,4,5,3,6,1,3,4,9,5,6,6,3,1,7,19,15,8
Cyperaceae,UPHE,pollen,NISP,,9,25,12,19,20,16,15,24,22,29,16,15,22,27,47,28,37,38
Ephedra,TRSH,pollen,NISP,,,,,,,,,,,1,1,1,,,,,1,
Eriogonum,UPHE,pollen,NISP,,1,,,3,,,,,,,2,,,,,,,2
Fabaceae,UPHE,pollen,NISP,,,,,,2,,1,1,1,1,,,,,1,,,2
Fraxinus,TRSH,pollen,NISP,,,1,,,,,,1,,,,,,2,,1,1,1
Humulus,UPHE,pollen,NISP,,,,,,,,2,,,,,,,,,,,
Hydrophyllaceae,UPHE,pollen,NISP,,,1,,,,,,1,,,,,,,,,1,1
Indeterminable,UNID,pollen/spore,NISP,,4,5,3,3,5,4,2,4,3,4,3,5,3,5,5,6,3,7
Juglans,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,1,
Lamiaceae,UPHE,pollen,NISP,,2,,,,,,,,,,,1,,,,,,1
Liliaceae,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,,,
Lonicera albiflora-type,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,
Lycopodium spike,LABO,counted,number,,26,42,38,42,33,44,34,32,35,35,34,29,33,68,72,88,85,63
Menyanthes trifoliata,AQVP,pollen,NISP,,,,,,,,,,,,,,,1,,,,
Myriophyllum,AQVP,pollen,NISP,,,,,,,,,1,,,,,1,,,,,
