"name","group","element","units","context","S61623","S61624","S61625","S61626","S61627","S61628","S61629","S61630","S61631","S61632","S61633","S61634","S61635","S61636","S61637","S61638","S61639","S61640","S61641","S61642","S61643","S61644","S61645","S61646","S61647","S61648","S61649","S61650","S61651","S61652","S61653","S61654","S61655","S61656","S61657","S61658","S61659","S61660","S61661","S61662","S61663","S61664","S61665","S61666","S61667","S61668","S61669","S61670","S61671","S61672","S61673","S61674","S61675","S61676","S61677","S61678","S61679","S61680","S61681","S61682","S61683"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,25,30,35,40,45,50,55,60,65,67.5,70,72.5,75,77.5,80,82.5,85,87.5,90,92.5,95,97.5,100,105,107.5,112,130,150,170,190,210,250,270,290,310,330,350,370,390,430,450,468,490,510,550,595,610,650,670,690,710,730,750,770,790,810,830,855,880,905,925
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,61623,61624,61625,61626,61627,61628,61629,61630,61631,61632,61633,61634,61635,61636,61637,61638,61639,61640,61641,61642,61643,61644,61645,61646,61647,61648,61649,61650,61651,61652,61653,61654,61655,61656,61657,61658,61659,61660,61661,61662,61663,61664,61665,61666,61667,61668,61669,61670,61671,61672,61673,61674,61675,61676,61677,61678,61679,61680,61681,61682,61683
Anderson 1993,Radiocarbon years BP,,,,--/1389/--,--/1471/--,--/1553/--,--/1635/--,--/1717/--,--/1799/--,--/1924/--,--/2182/--,--/2439/--,--/2568/--,--/2697/--,--/2826/--,--/3357/--,--/4290/--,--/5223/--,--/6157/--,--/7090/--,--/8023/--,--/8957/--,--/9890/--,--/10065/--,--/10240/--,--/10414/--,--/10764/--,--/10939/--,--/11253/--,--/12512/--,--/13911/--,--/14593/--,--/14890/--,--/15186/--,--/15780/--,--/16076/--,--/16373/--,--/16670/--,--/16967/--,--/17263/--,--/17560/--,--/17857/--,--/18450/--,--/18747/--,--/19014/--,--/19340/--,--/19637/--,--/20231/--,--/20898/--,--/21121/--,--/22829/--,--/23745/--,--/24660/--,--/25576/--,--/26492/--,--/27408/--,--/28324/--,--/29240/--,--/30156/--,--/31072/--,--/32217/--,--/33362/--,--/34507/--,--/35422/--
Anderson 1997,Radiocarbon years BP,,,,--/1389/--,--/1471/--,--/1553/--,--/1635/--,--/1717/--,--/1799/--,--/1924/--,--/2182/--,--/2439/--,--/2568/--,--/2697/--,--/2826/--,--/3357/--,--/4290/--,--/5223/--,--/6157/--,--/7090/--,--/8023/--,--/8957/--,--/9890/--,--/10086/--,--/10282/--,--/10478/--,--/10870/--,--/11067/--,--/11419/--,--/12831/--,--/14400/--,--/14805/--,--/15210/--,--/15615/--,--/16426/--,--/16831/--,--/17236/--,--/17641/--,--/18046/--,--/18451/--,--/18856/--,--/19262/--,--/20072/--,--/20477/--,--/20842/--,--/21287/--,--/21692/--,--/22637/--,--/24153/--,--/24658/--,--/26006/--,--/26680/--,--/27354/--,--/28028/--,--/28701/--,--/29375/--,--/30049/--,--/30723/--,--/31397/--,--/32070/--,--/32913/--,--/33755/--,--/34597/--,--/35271/--
Abies,TRSH,pollen,NISP,,1,,,1,1,,1,,,,1,,,2,,2,4,2,3,1,3,4,5,3,3,1,3,6,7,2,12,8,5,7,2,11,7,6,4,5,10,5,7,6,5,6,8,11,8,4,8,,3,4,6,2,9,7,10,3,13
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,,,,
Alnus,TRSH,pollen,NISP,,1,1,1,,1,1,,,1,,,,1,1,,,,2,,,,,1,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,1,,,,,1,,,,,,,
