depth	min	max	median	mean
25	894	1458	1232	1212
30	1076	1567	1354	1343
35	1179	1762	1460	1466
40	1275	1921	1567	1574
45	1399	2035	1670	1682
50	1511	2195	1780	1796
55	1670	2310	1921	1940
60	1851	2520	2157	2164
65	1958	2963	2441	2443
67.5	2190	3016	2573	2580
70	2338	3088	2721	2717
72.5	2439	3215	2871	2854
75	2896	3970	3232	3298
77.5	2978	5608	3562	3820
80	3030	7287	3905	4342
82.5	3194	8425	4479	4965
85	3320	9290	4958	5657
87.5	3386	10288	5411	6348
90	3491	11192	5741	6860
92.5	3620	11429	6055	7102
95	3722	11784	6347	7343
97.5	3828	12136	6625	7571
100	3982	12290	6811	7740
105	4177	12735	7249	8079
107.5	4330	12940	7425	8253
112	4523	13340	7761	8566
130	5392	14793	9238	9816
150	6394	16245	10676	11151
170	7268	17080	11795	12145
190	8074	17736	12832	13060
210	8920	18443	13937	13983
250	10730	19910	15982	15855
270	11562	20683	17058	16794
290	12425	21394	18061	17708
310	13352	22050	19017	18642
330	14186	22770	19988	19566
350	15000	23454	20990	20480
370	15830	24184	21941	21394
390	16704	24839	22863	22282
430	18434	26071	24819	24147
450	19402	26667	25788	25065
468	20153	27175	26565	25842
490	20986	28207	27147	26511
510	21717	29029	27690	27115
550	23196	30549	28801	28313
595	24791	32208	30087	29648
610	25414	32823	30547	30114
650	27078	34537	31925	31617
670	27957	35420	32675	32386
690	28831	36168	33377	33132
710	29684	36995	34070	33882
730	30619	37891	34803	34647
750	31450	38706	35527	35403
770	32446	39475	36240	36169
790	33429	40489	36959	36923
810	34290	41307	37701	37680
830	35212	42114	38399	38434
855	36392	43286	39305	39387
880	37614	44374	40206	40328
905	38864	45513	41112	41279
925	39803	46416	41980	42191
