depth	min	max	median	mean
25	919	1458	1239	1220
30	1083	1561	1360	1350
35	1169	1827	1472	1479
40	1295	1908	1583	1587
45	1366	2077	1691	1696
50	1544	2185	1786	1804
55	1637	2325	1890	1912
60	1816	2574	2194	2196
65	1889	3041	2483	2479
67.5	2185	3087	2636	2634
70	2425	3143	2787	2789
72.5	2596	3244	2949	2944
75	2709	3427	3102	3099
77.5	4931	5757	5320	5322
80	6969	8210	7530	7546
82.5	8919	10728	9736	9769
85	10849	13294	11946	11992
87.5	10852	13298	11948	11994
90	10855	13301	11950	11997
90.00001	10855	13301	11950	11997
92.5	10857	13305	11952	11999
95	10860	13309	11955	12002
97.5	10959	13432	12072	12115
100	11050	13587	12189	12227
105	11154	14115	12403	12452
107.5	11249	14258	12515	12570
112	11388	14579	12719	12780
130	11983	15787	13563	13635
150	12459	16652	14244	14355
152	12463	16653	14246	14357
152.00001	12463	16653	14246	14357
170	12729	16987	14568	14675
190	13082	17356	15006	15091
210	13418	17760	15436	15505
250	14188	18636	16296	16340
270	14540	19036	16712	16756
290	14911	19402	17153	17164
310	15302	19787	17583	17580
330	15651	20206	18006	18000
350	15995	20576	18445	18425
370	16344	20993	18877	18841
390	16721	21385	19323	19259
430	17469	22178	20179	20087
450	17783	22591	20602	20500
468	18125	22944	21000	20873
490	18563	23372	21479	21338
510	18940	23777	21920	21761
550	19624	24591	22792	22602
595	20471	25454	23791	23533
610	20627	25655	24006	23741
614	20628	25657	24009	23745
614.00001	20628	25657	24009	23745
650	21714	27338	25270	25073
670	22381	28358	26014	25830
690	23015	29318	26753	26601
710	23692	30176	27526	27355
730	24313	31012	28298	28119
750	24936	31943	29047	28888
770	25659	32765	29835	29654
790	26372	33581	30596	30417
810	27038	34455	31370	31176
830	27638	35301	32162	31951
855	28534	36325	33127	32893
880	29347	37362	34118	33855
905	30157	38437	35126	34804
925	30799	39139	35775	35472
