"name","group","element","units","context","S192408","S192409","S192410","S192411","S192412","S192413","S192414","S192415","S192416","S192417","S192418","S192419","S192420","S192421","S192422","S192423","S192424","S192425","S192426","S192427","S192428","S192429","S192430","S192431","S192432","S192433","S192434","S192435","S192436","S192437","S192438","S192439","S192440","S192441","S192442","S192443","S192444","S192445","S192446","S192447","S192448","S192449","S192450","S192451","S192452","S192453","S192454","S192455","S192456","S192457","S192458","S192459","S192460"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,192408,192409,192410,192411,192412,192413,192414,192415,192416,192417,192418,192419,192420,192421,192422,192423,192424,192425,192426,192427,192428,192429,192430,192431,192432,192433,192434,192435,192436,192437,192438,192439,192440,192441,192442,192443,192444,192445,192446,192447,192448,192449,192450,192451,192452,192453,192454,192455,192456,192457,192458,192459,192460
Neotoma 1,Calibrated radiocarbon years BP,,,,-53/-55/-57,-49/-51/-53,-46/-47/-49,-42/-44/-46,-37/-40/-42,-32/-34/-36,-27/-28/-30,-20/-22/-24,-14/-16/-19,-7/-10/-14,-5/-8/-12,-3/-7/-10,-1/-5/-8,2/-3/-7,6/-1/-7,12/6/1,20/13/7,30/21/11,40/28/15,50/35/18,62/48/33,82/61/41,104/74/47,128/87/51,876/439/154,1337/820/346,1676/1199/678,2026/1590/1046,2241/1965/1540,2585/2351/2146,3177/2694/2303,3529/3022/2554,3888/3371/2829,4145/3709/3135,4353/4038/3592,4517/4383/4233,5170/4738/4437,5659/5095/4634,6104/5446/4895,6420/5772/5158,6806/6116/5430,7070/6452/5792,7354/6802/6165,7589/7162/6581,7792/7516/7062,7945/7847/7737,8215/7968/7803,8460/8085/7858,8728/8210/7938,9022/8339/8030,9356/8469/8121,9573/8596/8232,9808/8722/8328
Abies,TRSH,pollen,NISP,,14,11,26,13,16,5,3,16,9,10,11,8,9,5,31,21,13,9,9,10,16,14,16,17,10,7,6,1,12,6,6,4,9,10,5,9,14,10,9,14,11,2,7,10,8,3,4,13,10,15,7,18,17
Alnus,TRSH,pollen,NISP,,,,,2,2,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,19,17,27,14,10,32,11,21,17,15,24,13,19,18,30,16,38,15,35,23,26,29,30,24,24,27,31,28,49,32,42,27,21,23,37,38,24,36,34,39,31,22,37,24,34,21,33,20,20,34,25,30,40
Ambrosia,UPHE,pollen,NISP,,6,9,6,5,4,7,7,7,3,3,4,8,10,6,6,15,9,7,7,4,10,15,10,16,1,10,8,9,8,10,14,8,9,12,9,11,4,11,11,15,8,8,19,14,21,12,14,13,20,25,11,14,28
