depth	min	max	median	mean
1	-59	-53	-57	-56
2	-54	-49	-52	-52
3	-49	-45	-47	-47
4	-44	-40	-42	-42
5	-39	-36	-37	-37
6	-34	-31	-33	-33
7	-30	-26	-28	-28
8	-26	-21	-23	-23
9	-21	-16	-18	-18
10	-17	-11	-14	-14
11	-13	-8	-10	-10
12	-9	-4	-7	-7
13	-7	0	-3	-3
14	-4	5	1	1
15	-2	9	4	4
16	1	14	8	8
17	3	19	11	11
18	5	23	15	15
19	7	28	18	18
20	10	33	22	22
21	23	54	38	38
22	30	80	55	55
23	35	109	71	72
24	38	138	88	88
32	119	506	276	283
40	199	1680	576	662
48	431	1930	1200	1171
56	809	2078	1635	1579
64	1551	2240	1994	1965
72	2117	2646	2334	2342
80	2201	3480	2596	2661
88	2356	3765	2960	2977
96	2622	3971	3346	3332
104	2924	4184	3716	3679
112	3392	4353	4071	4018
120	4246	4555	4393	4393
128	4373	5409	4712	4760
136	4524	5874	5036	5083
144	4729	6221	5417	5445
152	5016	6726	5851	5850
160	5314	7032	6236	6228
168	5761	7286	6681	6627
176	6243	7488	7001	6963
184	6789	7641	7308	7285
192	7329	7766	7604	7588
200	7681	7981	7800	7809
208	7736	8128	7897	7906
216	7800	8263	7998	8005
224	7868	8407	8095	8105
232	7932	8520	8196	8204
240	8003	8629	8297	8302
248	8106	8724	8397	8403
256	8210	8809	8490	8500
