"name","group","element","units","context","S132358","S132359","S132360","S132361","S132362","S132363","S132364","S132365","S132366","S132367","S132368","S132369","S132370","S132371","S132372","S132373","S132374","S132375","S132376","S132377","S132378","S132379","S132380","S132381"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,7,14,21,28,35,42,49,56,63,70,77,84,91,94,95,103,108,112,117,122,126,140,154
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,132358,132359,132360,132361,132362,132363,132364,132365,132366,132367,132368,132369,132370,132371,132372,132373,132374,132375,132376,132377,132378,132379,132380,132381
Neotoma 1,Calibrated radiocarbon years BP,,,,-34/-37/-40,146/32/-25,243/105/21,368/197/74,469/303/144,565/410/231,632/516/352,707/605/440,782/671/531,848/735/615,912/798/690,971/854/755,1037/901/797,--/952/--,--/975/--,--/983/--,--/1043/--,--/1080/--,--/1111/--,--/1148/--,--/1186/--,--/1216/--,--/1321/--,--/1427/--
Abies,TRSH,pollen,NISP,,,3,2,,,1,,,,1,,,2,3,,,1,,2,,,,,
Acer negundo,TRSH,pollen,NISP,,11,1,12,1,5,1,,,,,6,,3,,,,,,2,,,2,,
Alnus,TRSH,pollen,NISP,,,1,,1,,,,,,,,,,,1,,,,1,,,1,,
Amaranthaceae,UPHE,pollen,NISP,,53,41,12,42,11,36,31,39,53,26,40,50,34,39,25,28,38,32,40,2,3,48,5,8
Ambrosia,UPHE,pollen,NISP,,7,16,11,10,2,2,2,1,3,16,7,2,5,1,1,,1,5,5,,,5,1,2
Arceuthobium,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,17,19,23,41,10,39,13,20,34,29,37,24,8,8,21,23,7,18,24,,,18,5,13
Asteraceae undiff.,UPHE,pollen,NISP,,4,8,11,20,5,7,6,4,5,6,17,4,5,3,10,12,2,8,22,,,16,1,4
Botryococcus,ALGA,colony,NISP,,667,950,449,1367,381,809,922,1034,7345,8587,3153,2163,530,683,194,709,619,818,1008,43,90,774,18,34
Cyperaceae,UPHE,pollen,NISP,,22,15,22,23,26,18,11,28,19,17,9,17,15,11,16,13,12,17,13,,,26,2,5
Fraxinus,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,9,22,,26,10,63,,115,,,,31,,50,,25,103,64,,13,13,,,
Juniperus,TRSH,pollen,NISP,,6,3,7,4,6,,5,,25,5,19,8,3,2,1,3,3,1,15,,,3,1,2
Ostrya,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,
Pediastrum,ALGA,colony,NISP,,1111,856,197,74,47,53,173,111,240,255,351,154,522,310,157,230,165,212,202,6,18,159,7,28
Picea,TRSH,pollen,NISP,,17,19,16,6,14,16,,5,6,5,3,,8,17,,14,3,9,9,,,1,,
Pinus subg. Pinus,TRSH,pollen,NISP,,,9,,27,,13,11,5,36,10,10,5,26,14,8,7,1,1,12,,,9,,1
Pinus subg. Strobus,TRSH,pollen,NISP,,,25,,17,,5,8,3,22,3,4,8,21,12,4,9,18,41,1,,1,5,,
Pinus undiff.,TRSH,pollen,NISP,,100.5,62.5,145,72.5,130.5,38.5,170,46.5,90,122.5,48.5,93.5,123.5,103.5,167.5,97.5,90.5,71,42.5,1,7.5,41,5.5,4.5
Poaceae,UPHE,pollen,NISP,,2,14,6,9,13,9,8,8,12,16,19,11,13,14,19,14,11,21,37,,1,25,5,5
Polygonum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,2,,
Polypodiaceae,VACR,spore,NISP,,56,190,118,26,5,13,,4,19,,62,2,22,50,,6,30,41,80,2,2,74,10,1
Potamogeton,AQVP,pollen,NISP,,1,,,,,,,3,,,,,5,25,,10,12,9,16,2,3,9,,
Quercus,TRSH,pollen,NISP,,3,11,2,18,,6,1,9,8,5,2,7,7,6,4,10,5,3,8,,,3,1,
Ruppia,AQVP,pollen,NISP,,138,281,29,32,41,10,14,12,51,15,69,56,78,51,85,24,22,28,49,7,2,53,,1
Salix,TRSH,pollen,NISP,,,1,,,,,,,1,,,,,2,,1,,,1,,,,,
Salsola,UPHE,pollen,NISP,,2,3,,,,,,,,,3,,2,,,,,,,,,,,
Sarcobatus vermiculatus,TRSH,pollen,NISP,,70,69,43,66,34,22,60,22,74,79,83,67,53,22,39,38,29,35,68,1,1,63,9,3
Selaginella,VACR,spore,NISP,,2,,,,,,,,,,,,1,,,,,,,,,,,
Spike,LABO,counted,number,,108,95,84,106,236,157,245,90,199,139,1508,137,239,279,273,113,48,49,3780,110,110,8208,10260,9024
Spirogyra,ALGA,palynomorph,NISP,,88,85,17,,41,10,43,21,32,23,29,,15,15,12,11,12,7,61,,2,39,7,7
Sporormiella,FUNG,spore,NISP,,,7,17,1,,,,,4,,,,1,,,,,,2,,,,,
Tetraëdron,ALGA,palynomorph,NISP,,265,2926,104,159,2,,,,1,,1,,269,335,,,49,5,50,,1,43,,1
Thalictrum,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,
Typha latifolia,AQVP,pollen,NISP,,1,2,2,1,,,,,1,,3,1,3,1,,,,,3,,,,1,
Typha undiff.,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,
