depth	min	max	median	mean
0	-43	-31	-37	-37
7	-21	172	32	42
14	18	273	109	124
21	79	402	199	218
28	160	494	313	318
35	241	586	423	418
42	358	648	520	518
49	469	721	602	603
56	556	803	672	674
63	629	872	739	742
70	708	937	802	808
77	762	1005	856	863
84	804	1073	906	915
90	811	1088	916	925
90.00002	811	1088	916	925
91	818	1093	924	933
94	835	1128	949	957
95	840	1147	957	966
103	884	1225	1021	1029
108	915	1279	1062	1071
112	937	1326	1095	1104
117	967	1375	1135	1145
122	998	1429	1175	1185
126	1022	1471	1206	1217
140	1105	1608	1320	1331
154	1200	1748	1436	1445
