"name","group","element","units","context","S363414","S363415","S363416","S363417","S363418","S363419","S363420","S363421","S363422","S363423","S363424","S363425","S363426","S363427","S363428","S363429","S363430"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,5,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Thickness,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,363414,363415,363416,363417,363418,363419,363420,363421,363422,363423,363424,363425,363426,363427,363428,363429,363430
SKOPE,Calibrated radiocarbon years BP,,,,-20/-35/-51,127/41/-17,412/270/144,494/347/212,573/424/281,651/500/356,729/576/430,799/653/515,869/729/598,930/805/690,1015/880/750,1100/954/815,1177/1027/877,1253/1101/948,1328/1173/1019,1398/1247/1092,1478/1320/1163
Anderson & Smith 2009,Calibrated radiocarbon years BP,,,,--/0/--,--/75/--,--/299/--,--/374/--,--/449/--,--/523/--,--/598/--,--/673/--,--/748/--,--/822/--,--/893/--,--/964/--,--/1034/--,--/1105/--,--/1176/--,--/1247/--,--/1317/--
Abies,TRSH,pollen,NISP,,7,3,,5,9,11,12,13,6,3,2,8,2,7,2,7,2
Alnus,TRSH,pollen,NISP,,1,17,13,50,10,13,6,8,9,75,48,22,61,28,48,68,91
Amaranthaceae,UPHE,pollen,NISP,,13,20,9,43,23,22,21,28,20,10,39,24,49,46,39,23,31
Ambrosia,UPHE,pollen,NISP,,3,17,9,6,10,10,5,9,5,5,13,11,7,4,13,10,8
Apiaceae,UPHE,pollen,NISP,,,5,,8,,,6,2,,2,3,,11,7,3,3,3
Arceuthobium,TRSH,pollen,NISP,,2,1,1,,,1,,1,,,,2,1,,,,
Artemisia,UPHE,pollen,NISP,,2,2,1,7,,1,2,2,3,3,1,1,2,4,1,1,4
Asteraceae undiff.,UPHE,pollen,NISP,,6,9,12,19,4,7,29,11,16,11,10,18,17,25,10,14,5
Betula,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,2
Brassicaceae,UPHE,pollen,NISP,,,1,,1,,1,1,1,2,,,1,1,2,,1,
Caryophyllaceae,UPHE,pollen,NISP,,1,1,,2,2,5,9,3,,10,1,5,1,3,1,3,
Celtis,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,
Cercocarpus/Purshia,TRSH,pollen,NISP,,1,6,,,4,,3,4,6,,,1,,,,3,1
Cichorioideae,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,
Cirsium,UPHE,pollen,NISP,,,4,,,,,,,21,,,,,,,,2
Cupressaceae,TRSH,pollen,NISP,,12,4,6,1,1,6,5,11,,3,2,11,,5,2,2,2
Cyperaceae,UPHE,pollen,NISP,,6,24,10,35,23,29,63,124,14,3,66,23,23,28,66,36,9
Ephedra,TRSH,pollen,NISP,,,1,,,,1,,1,,,,,,,,,1
Eriogonum,UPHE,pollen,NISP,,1,,,,,1,1,,,,,,,,,,
Euphorbia,UPHE,pollen,NISP,,,,,,,,,,1,,,,,1,,,
Fabaceae,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,4,47,33,17,36,20,6,12,45,28,38,18,30,16,38,24,49
Juglans,TRSH,pollen,NISP,,,1,,,3,,,,,,,,,,,,
Liliaceae,UPHE,pollen,NISP,,,2,,1,2,,,,1,,5,1,,2,5,,7
Lycium,TRSH,pollen,NISP,,,,,,2,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,92,65,25,43,45,30,50,19,35,21,23,30,33,27,23,12,17
Pinus subsect. Cembroides,TRSH,pollen,NISP,,8,8,,4,8,8,6,4,4,2,9,10,2,4,9,7,6
Pinus undiff.,TRSH,pollen,NISP,,46,71,42,82,97,94,113,60,86,69,127,94,81,110,127,102,106
Poaceae,UPHE,pollen,NISP,,21,54,53,68,35,57,38,20,45,65,48,47,99,57,48,65,58
Polygonaceae undiff.,UPHE,pollen,NISP,,,1,,3,,,,,,,,,1,2,,4,
Populus,TRSH,pollen,NISP,,,,1,,1,1,,,,2,,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,3,,,,,,10,1,,2,,6,,,,,
Quercus,TRSH,pollen,NISP,,16,6,3,7,3,2,6,7,3,2,1,13,1,5,1,2,4
Rosaceae undiff.,UPHE,pollen,NISP,,,,,1,1,,,,,,,1,,,,,1
Rumex,UPHE,pollen,NISP,,1,6,2,,5,12,4,,,,,,,,,,
Salix,TRSH,pollen,NISP,,,1,,,,2,,,,,,,,,,,
Scrophulariaceae,UPHE,pollen,NISP,,1,,,,,1,,,,,,,,,,,
Sphaeralcea,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,
Thalictrum,UPHE,pollen,NISP,,2,,,2,3,,,,,1,2,,3,1,2,2,3
Unknown (monolete),UNID,spore,NISP,,,1,,,,,,,6,,8,,,,8,,
Unknown (trilete),UNID,spore,NISP,,,1,,,,,,,,,,,,,,,
Unknown undiff.,UNID,pollen/spore,NISP,,2,8,5,9,2,5,6,2,7,3,3,4,6,12,3,3,7
