"name","group","element","units","context","S142897","S142898","S142899","S142900","S142901","S142902","S142903","S142904","S142905","S142906","S142907","S142908","S142909","S142910","S142911","S142912","S142913","S142914","S142915","S142916","S142917","S142918","S142919","S142920","S142921","S142922","S142923","S142924","S142925","S142926","S142927","S142928","S142929","S142930","S142931","S142932","S142933","S142934","S142935","S142936","S142937","S142938","S142939","S142940","S142941","S142942","S142943","S142944","S142945","S142946","S142947","S142948","S142949","S142950","S142951","S142952","S142953","S142954","S142955","S142956","S142957","S142958","S142959","S142960","S142961","S142962","S142963","S142964","S142965","S142966","S142967","S142968","S142969","S142970","S142971","S142972","S142973","S142974","S142975","S142976","S142977","S142978","S142979","S142980","S142981","S142982","S142983","S142984","S142985","S142986","S142987","S142988","S142989","S142990","S142991","S142992","S142993","S142994","S142995","S142996","S142997","S142998","S142999","S143000","S143001","S143002","S143003","S143004","S143005","S143006","S143007","S143008","S143009","S143010","S143011","S143012","S143013","S143014","S143015","S143016","S143017","S143018","S143019","S143020","S143021","S143022","S143023","S143024","S143025","S143026","S143027","S143028","S143029","S143030","S143031","S143032","S143033","S143034","S143035","S143036","S143037","S143038","S143039","S143040","S143041","S143042","S143043","S143044","S143045","S143046","S143047","S143048","S143049","S143050","S143051","S143052","S143053","S143054","S143055","S143056","S143057","S143058","S143059","S143060","S143061","S143062","S143063","S143064","S143065","S143066","S143067","S143068","S143069","S143070","S143071","S143072","S143073","S143074","S143075","S143076","S143077","S143078","S143079","S143080","S143081","S143082","S143083","S143084","S143085","S143086","S143087","S143088","S143089","S143090","S143091","S143092","S143093","S143094","S143095","S143096","S143097","S143098","S143099","S143100","S143101","S143102","S143103","S143104"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,4,6,8,10,12,14,16,18,20,22,24,26,28,30,34,35,37,39,41,43,45,47,49,51,53,55,56,58,60,62,65,66,68,70,72,74,76,78,80,82,84,86,87,89,91,93,95,97,101,103,105,107,111,113,115,117,119,121,123,125,127,129,131,134,136,138,140,142,145,147,149,151,153,155,157,159,161,163,165,167,168,170,172,174,176,178,180,182,184,186,188,190,191,193,195,197,199,201,202,205,206,208,210,212,214,216,218,221,224,226,228,229,231,233,235,237,239,241,243,245,247,249,251,252,254,256,258,260,262,264,265,267,269,271,273,275,277,278,280,282,284,286,288,290,292,294,295,297,299,301,303,305,307,309,311,313,315,317,318,320,322,324,326,328,330,332,333,335,337,339,341,343,345,347,349,351,353,355,356,358,360,362,364,366,368,370,371,373,375,377,379,381,383,385,387,388,390,392,394,396,398,400,402,404,405,407,409
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,142897,142898,142899,142900,142901,142902,142903,142904,142905,142906,142907,142908,142909,142910,142911,142912,142913,142914,142915,142916,142917,142918,142919,142920,142921,142922,142923,142924,142925,142926,142927,142928,142929,142930,142931,142932,142933,142934,142935,142936,142937,142938,142939,142940,142941,142942,142943,142944,142945,142946,142947,142948,142949,142950,142951,142952,142953,142954,142955,142956,142957,142958,142959,142960,142961,142962,142963,142964,142965,142966,142967,142968,142969,142970,142971,142972,142973,142974,142975,142976,142977,142978,142979,142980,142981,142982,142983,142984,142985,142986,142987,142988,142989,142990,142991,142992,142993,142994,142995,142996,142997,142998,142999,143000,143001,143002,143003,143004,143005,143006,143007,143008,143009,143010,143011,143012,143013,143014,143015,143016,143017,143018,143019,143020,143021,143022,143023,143024,143025,143026,143027,143028,143029,143030,143031,143032,143033,143034,143035,143036,143037,143038,143039,143040,143041,143042,143043,143044,143045,143046,143047,143048,143049,143050,143051,143052,143053,143054,143055,143056,143057,143058,143059,143060,143061,143062,143063,143064,143065,143066,143067,143068,143069,143070,143071,143072,143073,143074,143075,143076,143077,143078,143079,143080,143081,143082,143083,143084,143085,143086,143087,143088,143089,143090,143091,143092,143093,143094,143095,143096,143097,143098,143099,143100,143101,143102,143103,143104
Wang et al. 2019,Calibrated radiocarbon years BP,,,,-11/-32/-45,103/20/-27,179/55/-15,254/90/-3,330/124/8,355/161/33,389/198/46,452/234/56,528/270/62,606/306/70,629/339/105,654/371/129,684/404/148,721/436/164,767/469/177,800/532/258,809/548/272,834/580/298,862/612/317,887/644/355,897/678/414,914/711/461,939/744/492,977/778/516,1006/815/581,1031/855/683,1055/894/762,1068/914/791,1116/954/826,1189/994/844,1332/1116/921,1671/1297/977,1799/1357/992,2069/1476/1015,2330/1595/1036,2372/1716/1192,2429/1838/1310,2501/1960/1406,2618/2082/1479,2791/2203/1532,2814/2326/1784,2835/2451/2025,2861/2575/2217,2878/2638/2273,2933/2763/2384,2992/2838/2438,3010/2862/2474,3039/2885/2501,3079/2909/2525,3163/2954/2582,3177/2974/2618,3196/2994/2655,3222/3014/2687,3274/3055/2746,3288/3075/2789,3302/3095/2829,3320/3115/2867,3341/3135/2901,3362/3156/2935,3370/3178/2977,3383/3199/3012,3399/3222/3043,3419/3244/3064,3459/3283/3110,3550/3364/3171,3626/3417/3195,3723/3470/3215,3826/3522/3230,3846/3575/3332,3881/3654/3460,3912/3707/3520,3965/3759/3569,4025/3823/3645,4120/3903/3710,4271/3982/3744,4449/4060/3764,4656/4137/3778,4775/4212/3831,4812/4286/3896,4861/4360/3951,4922/4433/3992,4963/4471/4007,5052/4544/4038,5072/4619/4181,5101/4695/4273,5139/4772/4338,5195/4850/4393,5280/4927/4434,5300/4990/4592,5326/5053/4744,5354/5115/4866,5389/5178/4946,5464/5240/5001,5474/5256/5026,5506/5289/5060,5549/5321/5087,5605/5353/5106,5666/5385/5124,5706/5418/5158,5719/5435/5178,5754/5486/5225,5771/5503/5236,5802/5537/5261,5848/5571/5277,5858/5602/5330,5875/5634/5374,5892/5665/5409,5912/5695/5433,5953/5745/5493,5975/5801/5602,5997/5839/5661,6031/5878/5708,6057/5897/5720,6154/5967/5775,6387/6069/5824,6620/6169/5853,6875/6268/5871,7144/6367/5887,7323/6467/5942,7426/6567/6011,7524/6667/6048,7650/6768/6089,7826/6867/6121,7950/6972/6210,7980/7026/6275,8052/7136/6355,8134/7246/6418,8241/7357/6469,8422/7466/6522,8464/7566/6644,8506/7668/6742,8527/7717/6782,8600/7820/6856,8699/7922/6907,8770/8031/7085,8805/8151/7370,8836/8271/7580,8881/8391/7726,8910/8452/7777,9008/8573/7858,9029/8700/8197,9054/8826/8522,9100/8953/8771,9331/9080/8841,9653/9206/8875,9768/9320/8961,9926/9434/9007,10025/9491/9028,10242/9604/9057,10487/9716/9082,10649/9828/9152,10706/9941/9236,10777/10053/9296,10875/10166/9347,11012/10279/9392,11134/10383/9507,11170/10479/9660,11206/10574/9753,11256/10670/9836,11287/10719/9872,11369/10813/9945,11393/10910/10201,11415/11006/10396,11449/11106/10620,11491/11205/10749,11574/11304/10833,11601/11357/10924,11612/11383/10960,11648/11437/11066,11695/11491/11144,11781/11545/11220,11843/11588/11291,11863/11619/11359,11886/11651/11412,11916/11682/11452,11963/11714/11480,12000/11745/11515,12024/11778/11553,12069/11810/11582,12094/11827/11592,12147/11859/11610,12203/11889/11624,12235/11921/11672,12271/11953/11708,12320/11985/11734,12371/12016/11758,12420/12047/11772,12445/12071/11816,12489/12120/11884,12538/12168/11926,12612/12217/11957,12708/12266/11978,12807/12352/12038,12944/12477/12107,13135/12601/12148,13371/12723/12181,13504/12784/12196,13764/12905/12218,13820/13031/12356,13890/13157/12453,13965/13283/12536,14072/13409/12597,14241/13534/12641,14280/13663/12938,14336/13791/13217,14378/13856/13347,14493/13988/13578,14618/14118/13742
Neotoma 1,Calibrated radiocarbon years BP,,,,0/-31/-49,144/22/-45,206/59/-23,251/96/1,327/132/13,357/165/37,399/198/51,438/232/73,479/267/96,537/302/112,565/336/148,600/370/170,639/404/199,671/439/229,716/473/250,782/542/315,807/560/324,834/595/368,867/630/396,905/665/431,931/698/471,966/731/501,994/765/561,1028/800/600,1062/834/652,1093/868/711,1124/902/750,1158/936/797,1246/1006/839,1410/1075/860,1519/1174/927,1836/1321/976,1885/1371/1021,1986/1470/1072,2133/1569/1109,2198/1677/1226,2322/1786/1295,2452/1898/1400,2526/2015/1519,2648/2131/1588,2694/2245/1732,2758/2358/1821,2832/2466/1933,2845/2519/2013,2878/2623/2128,2932/2691/2189,2963/2721/2233,3009/2751/2272,3034/2780/2314,3101/2838/2398,3127/2868/2456,3162/2897/2504,3180/2927/2556,3232/2986/2642,3248/3013/2687,3274/3042/2719,3292/3071/2774,3315/3100/2816,3335/3128/2864,3351/3154/2919,3374/3181/2957,3398/3219/3016,3449/3258/3056,3502/3303/3101,3611/3382/3151,3680/3433/3194,3714/3483/3243,3775/3532/3273,3799/3587/3360,3880/3670/3426,3914/3727/3547,3965/3783/3624,4040/3847/3680,4155/3917/3722,4317/3986/3742,4384/4057/3796,4488/4129/3831,4578/4199/3883,4639/4267/3929,4748/4335/3965,4799/4409/4047,4830/4446/4075,4922/4520/4115,4953/4595/4209,5013/4671/4282,5069/4744/4373,5109/4817/4471,5172/4890/4534,5197/4960/4693,5246/5033/4807,5300/5091/4874,5337/5134/4919,5396/5178/4944,5415/5196/4968,5454/5233/5002,5511/5268/5024,5541/5306/5071,5590/5346/5104,5636/5383/5140,5646/5401/5160,5711/5455/5195,5726/5474/5225,5760/5513/5265,5809/5552/5295,5846/5589/5344,5881/5626/5378,5921/5663/5424,5964/5699/5473,6037/5754/5549,6102/5811/5626,6178/5874/5693,6287/5964/5743,6403/6007/5756,6573/6103/5810,6707/6209/5867,6926/6315/5899,7015/6429/5993,7159/6542/6045,7299/6652/6123,7395/6759/6194,7534/6865/6243,7627/6971/6342,7754/7078/6422,7856/7185/6504,7900/7239/6554,8001/7346/6625,8104/7451/6724,8193/7551/6830,8312/7652/6906,8365/7762/7061,8446/7873/7173,8504/7929/7206,8556/8034/7371,8626/8138/7466,8698/8241/7607,8742/8343/7759,8824/8446/7877,8854/8552/8120,8876/8606/8230,8950/8713/8366,8979/8818/8623,9126/8924/8716,9314/9026/8780,9502/9125/8825,9753/9222/8856,9839/9320/8932,9977/9419/8979,10067/9466/8994,10137/9565/9082,10251/9664/9136,10364/9764/9212,10454/9867/9308,10588/9970/9372,10661/10075/9486,10765/10180/9551,10859/10280/9649,10924/10380/9751,11022/10481/9838,11068/10578/9954,11094/10626/10011,11191/10723/10096,11222/10825/10268,11274/10927/10386,11327/11028/10541,11365/11129/10691,11428/11231/10798,11468/11278/10870,11499/11301/10899,11592/11348/10945,11624/11390/11025,11670/11432/11093,11712/11473/11164,11746/11515/11238,11792/11556/11293,11822/11595/11355,11874/11635/11400,11938/11676/11438,11989/11716/11470,12062/11756/11493,12080/11776/11515,12132/11815/11554,12193/11853/11580,12233/11891/11628,12285/11929/11662,12335/11968/11708,12367/12008/11760,12417/12048/11792,12445/12084/11830,12566/12157/11873,12696/12228/11901,12799/12317/11956,12929/12406/11994,13054/12495/12045,13156/12585/12095,13291/12675/12136,13358/12767/12212,13401/12813/12231,13528/12905/12270,13588/12994/12333,13677/13083/12383,13757/13174/12436,13817/13268/12503,13914/13362/12551,13956/13454/12627,14023/13547/12686,13914/13362/12551,13956/13454/12627,14023/13547/12686
Abies,TRSH,pollen,NISP,,17,11,6,18,28,15,13,10,6,19,15,16,25,20,3,8,13,19,3,9,10,14,17,13,8,17,5,6,13,19,11,12,19,21,3,13,15,7,1,11,9,14,11,6,1,17,4,8,15,20,12,15,28,2,18,17,7,18,8,11,5,7,5,9,6,5,5,11,12,10,12,21,13,6,9,9,3,12,12,8,10,11,16,10,10,14,9,13,17,14,7,17,9,13,6,7,18,8,30,11,6,20,12,7,8,23,14,11,18,11,4,4,7,5,2,4,8,7,6,11,6,8,7,9,8,4,5,8,6,11,11,9,4,5,10,2,3,6,7,5,5,4,4,4,3,7,17,5,8,17,4,6,2,7,7,4,6,6,6,9,8,2,9,4,1,4,,1,,1,1,3,,,,,,2,1,,1,1,2,2,,,2,6,1,1,6,2,3,1,,,,3,4,,,2,2,1,1,2,,2
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,1,,,1,,,,,,3,,1,,1,,,,,,2,,,1,,,,,,1,1,,,,,1,,,1,,,,,1,,,,,,,2,,,,,1,,,,1,,1,,,,,,,,,,,1,1,1,1,3,2,3,3,1,1,,1,2,1,5,1,1,3,1,2,2,2,1,4,1,3,,1,1,20,8,10,18,23,13,15,12,20,13,14,15,20,12,21,15,24,10,27,27,14,25,23,26,19,32,25,20,26,12,17,18,11,12,15,7,8,8,10,7,22,4,1,4,4,3,3,2,,1,2,,1,1,1,,,,,2,,1,,,,,,1,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
