depth	min	max	median	mean
1	-49	0	-35	-32
4	-42	147	8	19
6	-28	209	37	51
8	-14	238	70	81
10	-3	295	98	111
12	23	331	136	146
14	38	382	172	181
16	61	432	206	217
18	83	462	244	252
20	98	522	279	287
22	135	551	312	321
24	158	588	349	355
26	192	620	384	391
28	223	657	425	427
30	243	707	461	464
34	309	761	533	534
35	319	787	552	552
37	361	812	587	585
39	382	847	620	617
41	423	878	653	651
43	466	915	688	685
45	492	952	722	720
47	547	977	753	754
49	590	1005	787	788
51	629	1035	818	821
53	684	1069	850	854
55	725	1113	883	886
56	794	1159	918	925
58	839	1275	983	1002
60	863	1487	1049	1080
62	936	1615	1169	1195
65	981	2075	1310	1367
66	1034	2090	1363	1418
68	1098	2145	1482	1519
70	1141	2264	1587	1621
72	1243	2332	1686	1716
74	1302	2422	1789	1812
76	1405	2506	1894	1915
78	1515	2575	2017	2026
80	1587	2677	2130	2136
82	1696	2711	2228	2232
84	1771	2758	2330	2328
86	1875	2810	2431	2429
87	1963	2819	2496	2482
89	2098	2850	2676	2587
91	2170	2905	2775	2655
93	2202	2939	2792	2685
95	2233	2979	2804	2716
97	2274	3000	2826	2746
101	2370	3071	2864	2806
103	2422	3097	2887	2837
105	2466	3138	2911	2868
107	2506	3149	2936	2897
111	2604	3195	2986	2956
113	2647	3217	3012	2986
115	2683	3249	3038	3016
117	2742	3266	3063	3047
119	2796	3290	3091	3078
121	2850	3313	3115	3109
123	2905	3332	3138	3138
125	2949	3359	3167	3168
127	3013	3387	3204	3210
129	3058	3445	3246	3253
131	3101	3496	3294	3298
134	3153	3590	3373	3369
136	3208	3655	3421	3422
138	3264	3698	3479	3479
140	3295	3782	3537	3536
142	3373	3819	3589	3589
145	3430	3896	3670	3669
147	3555	3938	3724	3727
149	3620	3986	3782	3786
151	3669	4075	3843	3850
153	3708	4187	3908	3917
155	3730	4339	3967	3985
157	3803	4396	4043	4058
159	3842	4478	4118	4131
161	3895	4560	4192	4203
163	3947	4625	4270	4276
165	3979	4736	4346	4349
167	4058	4779	4420	4421
168	4084	4808	4460	4458
170	4126	4893	4539	4530
172	4195	4936	4606	4594
174	4243	4994	4676	4658
176	4329	5047	4744	4727
178	4419	5083	4816	4800
180	4482	5151	4892	4874
182	4674	5189	4959	4949
184	4809	5241	5029	5025
186	4878	5294	5084	5084
188	4915	5334	5129	5128
190	4937	5402	5168	5171
191	4960	5419	5189	5190
193	4997	5457	5227	5228
195	5021	5526	5262	5267
197	5061	5559	5301	5305
199	5092	5602	5339	5342
201	5126	5648	5375	5380
202	5151	5663	5395	5398
205	5196	5721	5451	5453
206	5223	5736	5470	5472
208	5265	5758	5509	5510
210	5288	5800	5549	5548
212	5345	5831	5586	5587
214	5384	5868	5625	5625
216	5437	5911	5664	5663
