"name","group","element","units","context","S154412","S154413","S154414","S154415","S154416","S154417","S154418","S154419","S154420","S154421","S154422","S154423","S154424","S154425","S154426","S154427","S154428","S154429","S154430","S154431","S154432","S154433","S154434","S154435"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,5,10,15,20,25,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,154412,154413,154414,154415,154416,154417,154418,154419,154420,154421,154422,154423,154424,154425,154426,154427,154428,154429,154430,154431,154432,154433,154434,154435
Neotoma 1,Calibrated radiocarbon years BP,,,,-39/-42/-45,356/96/-34,553/236/15,713/376/100,858/513/207,978/651/317,1094/790/452,1279/1069/805,1547/1324/1081,1953/1550/1223,2393/1782/1358,2770/2010/1504,3139/2236/1645,3583/2516/1828,4096/2829/2026,4763/3586/2480,5496/4789/3788,6586/5832/5186,7308/6774/6014,8143/7554/7071,8903/8191/7514,9468/8841/8105,9710/9159/8460,10581/9792/9079
Wang et al. 2019,Calibrated radiocarbon years BP,,,,-36/-42/-48,313/100/-29,669/243/-15,781/384/74,958/524/129,1038/661/274,1165/796/355,1290/1072/780,1501/1277/1003,1692/1405/1094,1857/1522/1186,2016/1636/1274,2165/1752/1374,2361/1892/1503,2570/2079/1725,3185/2528/2124,5407/4574/3579,6935/6084/5217,7350/6874/6135,8378/7641/7108,9167/8268/7459,9609/8864/7983,9609/8864/7983,10016/9514/8920
Abies,TRSH,pollen,NISP,,1,1,2,1,,1,,,1,4,,,,,,,,1,9,4,,1,7,9
Alnus,TRSH,pollen,NISP,,1,1,1,5,,2,,,,,,,,,,,,,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,11,28,30,28,65,27,28,26,18,20,34,31,49,37,50,43,56,60,8,26,30,26,14,15
Ambrosia,UPHE,pollen,NISP,,23,13,24,34,27,21,11,11,23,9,13,9,24,24,37,9,5,2,5,22,25,6,27,19
Apiaceae,UPHE,pollen,NISP,,1,1,,1,,,,,,,,1,,,,,,,,,2,,,
Arctostaphylos,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,7,22,7,17,15,17,16,15,6,9,13,15,15,12,18,8,13,10,12,23,19,34,51,38
Asteraceae undiff.,UPHE,pollen,NISP,,18,33,13,17,17,16,20,18,9,25,11,13,16,14,32,14,11,15,5,11,19,10,15,11
Betula,TRSH,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,
Bistorta bistortoides,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,6,5,6,3,3,2,,,3,2,,2,1,2,,14,1,1,3,5,,,,1
Carya,TRSH,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,1,,,,,,,,
