depth	min	max	median	mean
0	-48	-36	-42	-42
5	-32	332	69	89
10	18	535	210	225
15	94	685	345	358
20	190	830	489	493
25	305	945	621	622
30	430	1065	761	756
40	755	1247	1027	1023
50	973	1448	1247	1233
60	1112	1639	1391	1384
70	1227	1823	1520	1521
80	1342	1987	1663	1660
90	1463	2133	1805	1801
100	1618	2299	1967	1967
110	1736	2414	2055	2058
110.00002	1736	2414	2055	2058
120	2053	2949	2361	2392
120.00002	2053	2949	2361	2392
130	3601	5463	4805	4740
140	5308	6885	6059	6072
150	6467	7445	6988	6979
160	7145	8292	7638	7659
170	7628	8903	8247	8249
180	8377	9384	8814	8829
180.00002	8377	9384	8814	8829
190	8377	9384	8814	8829
190.00002	8377	9384	8814	8829
200	8700	10233	9312	9349
