"name","group","element","units","context","S54379","S54380","S54381","S54382","S54383","S54384","S54385","S54386","S54387","S54388","S54389","S54390","S54391","S54392","S54393","S54394","S54395","S54396","S54397","S54398","S54399","S54400","S54401","S54402","S54403","S54404","S54405","S54406","S54407","S54408","S54409","S54410","S54411","S54412","S54413","S54414","S54415","S54416","S54417","S54418","S54419","S54420","S54421","S54422","S54423","S54424","S54425","S54426","S54427","S54428","S54429","S54430","S54431","S54432","S54433","S54434","S54435","S54436","S54437","S54438","S54439","S54440","S54441","S54442","S54443","S54444","S54445","S54446","S54447","S54448","S54449","S54450","S54451","S54452","S54453","S54454","S54455","S54456","S54457","S54458","S54459","S54460","S54461","S54462","S54463","S54464","S54465","S54466","S54467","S54468","S54469","S54470","S54471"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,2.5,5,7.5,10,12.5,15,17.5,20,22.5,25,27.5,30,32.5,35,37.5,40,45,50,52.5,55,57.5,60,62.5,65,67.5,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,390.1,395
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,54379,54380,54381,54382,54383,54384,54385,54386,54387,54388,54389,54390,54391,54392,54393,54394,54395,54396,54397,54398,54399,54400,54401,54402,54403,54404,54405,54406,54407,54408,54409,54410,54411,54412,54413,54414,54415,54416,54417,54418,54419,54420,54421,54422,54423,54424,54425,54426,54427,54428,54429,54430,54431,54432,54433,54434,54435,54436,54437,54438,54439,54440,54441,54442,54443,54444,54445,54446,54447,54448,54449,54450,54451,54452,54453,54454,54455,54456,54457,54458,54459,54460,54461,54462,54463,54464,54465,54466,54467,54468,54469,54470,54471
NAPD 1,Radiocarbon years BP,,,,--/-25/--,--/119/--,--/264/--,--/408/--,--/553/--,--/697/--,--/841/--,--/986/--,--/1130/--,--/1274/--,--/1419/--,--/1563/--,--/1708/--,--/1852/--,--/1996/--,--/2141/--,--/2285/--,--/2549/--,--/2587/--,--/2606/--,--/2625/--,--/2644/--,--/2663/--,--/2681/--,--/2700/--,--/2719/--,--/2738/--,--/2776/--,--/2814/--,--/2852/--,--/2890/--,--/2994/--,--/3098/--,--/3202/--,--/3306/--,--/3410/--,--/3515/--,--/3619/--,--/3723/--,--/3827/--,--/3931/--,--/4035/--,--/4074/--,--/4112/--,--/4151/--,--/4189/--,--/4228/--,--/4266/--,--/4305/--,--/4499/--,--/4694/--,--/4888/--,--/5083/--,--/5277/--,--/5471/--,--/5666/--,--/5860/--,--/5980/--,--/6100/--,--/6220/--,--/6340/--,--/6460/--,--/6580/--,--/6700/--,--/6925/--,--/7150/--,--/7375/--,--/7600/--,--/7825/--,--/8050/--,--/8275/--,--/8500/--,--/8517/--,--/8534/--,--/8551/--,--/8568/--,--/8585/--,--/8602/--,--/8619/--,--/8636/--,--/8653/--,--/8670/--,--/8807/--,--/8944/--,--/9081/--,--/9218/--,--/9354/--,--/9491/--,--/9628/--,--/9765/--,--/9902/--,--/9905/--,--/10039/--
SKOPE,Calibrated radiocarbon years BP,,,,-20/-23/-26,355/102/-19,733/229/-13,865/367/53,1127/505/83,1243/630/178,1402/755/229,1517/888/348,1687/1020/419,1764/1141/542,1894/1261/623,1985/1390/776,2130/1520/859,2201/1652/1008,2329/1785/1105,2394/1918/1279,2496/2053/1390,2635/2305/1665,2736/2396/1795,2777/2442/1869,2832/2489/1931,2872/2535/1998,2922/2581/2057,2959/2626/2127,3008/2670/2179,3046/2719/2259,3096/2768/2320,3179/2859/2443,3251/2949/2582,3330/3042/2728,3395/3134/2881,3556/3250/2981,3714/3371/3065,3862/3499/3163,3991/3624/3264,4117/3747/3375,4239/3870/3487,4346/3997/3610,4467/4126/3728,4554/4250/3885,4655/4376/4051,4761/4502/4243,4877/4611/4346,5001/4712/4426,5121/4808/4514,5226/4906/4599,5330/5001/4687,5441/5103/4782,5545/5202/4879,5704/5343/4993,5960/5528/5119,6164/5717/5273,6344/5899/5437,6524/6096/5617,6654/6291/5835,6781/6472/6083,6889/6659/6392,7030/6814/6596,7195/6937/6681,7333/7055/6782,7447/7176/6892,7547/7298/7014,7631/7420/7157,7705/7536/7327,7839/7674/7520,8222/7850/7603,8491/8030/7696,8726/8216/7810,8928/8396/7941,9117/8578/8089,9284/8761/8247,9448/8944/8419,9597/9097/8583,9688/9193/8680,9773/9291/8778,9856/9387/8882,9945/9483/8983,10019/9578/9089,10098/9672/9193,10170/9771/9307,10242/9869/9431,10313/9964/9554,10393/10064/9681,10672/10216/9788,10852/10367/9900,11047/10514/10025,11220/10661/10147,11386/10812/10290,11554/10962/10437,11706/11109/10584,11871/11262/10742,11874/11265/10745,12094/11411/10842
Abies,TRSH,pollen,NISP,,5,9,14,8,10,13,7,12,11,24,13,16,16,9,8,18,6,12,26,10,15,31,29,28,9,17,15,15,5,15,6,7,5,21,13,8,2,4,4,4,11,11,11,9,17,11,1,17,7,11,3,1,14,6,3,13,14,14,6,5,6,12,21,7,25,10,7,5,6,19,10,6,5,11,4,6,5,8,10,12,6,2,5,4,3,8,10,7,2,2,17,17,13
Alnus,TRSH,pollen,NISP,,1,2,,1,1,2,,,2,2,,2,1,2,,,,,,3,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthaceae undiff.,UPHE,pollen,NISP,,12,27,21,32,29,25,29,44,20,47,24,64,28,45,23,45,15,24,15,56,23,27,25,33,27,47,19,29,20,33,23,17,31,28,8,16,16,36,20,23,29,25,26,19,21,19,16,19,28,17,33,32,24,16,29,22,28,21,32,15,15,17,25,19,17,24,11,33,32,20,19,19,20,22,19,10,10,7,11,17,27,12,9,14,22,27,15,13,18,17,21,21,17
