depth	min	max	median	mean
0	-26	-20	-23	-23
2.5	-14	308	69	88
5	-5	639	161	199
7.5	5	970	253	311
10	15	1301	345	422
12.5	120	1385	534	577
15	173	1493	705	732
17.5	212	1678	858	887
20	245	2031	995	1042
22.5	546	2088	1187	1229
25	730	2142	1405	1416
27.5	849	2238	1633	1603
30	930	2427	1846	1790
32.5	1214	2451	1966	1928
35	1474	2486	2094	2066
37.5	1686	2543	2231	2204
40	1807	2655	2368	2342
45	2026	2716	2468	2452
50	2154	2856	2573	2563
52.5	2204	2882	2610	2598
55	2249	2920	2643	2633
57.5	2296	2966	2677	2668
60	2334	3028	2709	2703
62.5	2380	3053	2744	2737
65	2422	3083	2776	2770
67.5	2455	3116	2810	2804
70	2488	3159	2844	2837
75	2608	3200	2912	2911
80	2681	3282	2987	2985
85	2815	3320	3049	3054
90	2891	3385	3119	3123
95	2989	3562	3249	3256
100	3033	3891	3370	3389
105	3129	3966	3494	3508
110	3179	4117	3616	3627
115	3312	4204	3759	3760
120	3380	4363	3898	3893
125	3568	4416	4026	4017
130	3686	4520	4157	4141
135	3901	4579	4269	4262
140	4056	4694	4392	4383
145	4206	4765	4482	4484
150	4291	4884	4582	4586
155	4386	4954	4671	4673
160	4441	5095	4756	4760
165	4544	5159	4840	4848
170	4602	5275	4925	4935
175	4725	5349	5009	5018
180	4810	5444	5106	5101
185	4920	5685	5287	5284
190	4978	6137	5441	5467
195	5160	6259	5677	5680
200	5247	6497	5903	5893
205	5554	6567	6114	6100
210	5676	6731	6345	6306
215	6155	6775	6505	6493
220	6477	6885	6685	6680
225	6564	7016	6795	6793
230	6599	7258	6898	6906
235	6710	7314	7022	7019
240	6767	7446	7142	7132
245	6958	7491	7253	7245
250	7036	7581	7373	7358
255	7358	7662	7523	7522
260	7453	8012	7667	7686
265	7566	8323	7880	7897
270	7620	8795	8066	8108
275	7824	8941	8321	8335
280	7910	9223	8562	8563
285	8215	9319	8794	8781
290	8376	9463	9032	8999
295	8557	9523	9148	9111
300	8662	9657	9255	9224
305	8759	9717	9327	9296
310	8827	9803	9388	9368
315	8941	9863	9457	9442
320	9008	9940	9525	9516
325	9106	9984	9596	9588
330	9182	10060	9664	9660
335	9321	10096	9735	9733
340	9419	10147	9806	9806
345	9570	10210	9885	9902
350	9636	10384	9989	9997
355	9738	10530	10130	10129
360	9795	10782	10259	10261
365	9913	10894	10387	10389
370	9996	11094	10512	10517
375	10150	11189	10643	10648
380	10250	11337	10770	10780
385	10353	11463	10880	10899
390	10440	11648	10997	11017
390.1	10441	11651	10998	11019
395	10519	11763	11101	11117
