depth	min	max	median	mean
0	-26	-20	-23	-23
2.5	-13	386	82	110
5	-3	795	186	243
7.5	59	956	332	371
10	94	1165	459	500
12.5	203	1290	592	624
15	251	1451	710	749
17.5	376	1565	865	896
20	443	1762	1018	1044
22.5	553	1842	1156	1168
25	629	1969	1285	1292
27.5	798	2048	1420	1424
30	881	2186	1559	1557
32.5	1053	2250	1697	1684
35	1164	2340	1835	1811
37.5	1317	2397	1964	1938
40	1401	2503	2102	2064
45	1687	2631	2376	2289
50	1830	2734	2441	2383
52.5	1898	2768	2479	2428
55	1947	2821	2516	2473
57.5	1996	2863	2557	2520
60	2063	2919	2600	2567
62.5	2141	2956	2647	2615
65	2198	3006	2688	2664
67.5	2270	3040	2734	2712
70	2332	3090	2777	2760
75	2469	3174	2869	2854
80	2599	3249	2952	2946
85	2731	3322	3043	3040
90	2881	3390	3129	3130
95	2967	3552	3243	3250
100	3066	3711	3375	3378
105	3170	3866	3495	3497
110	3266	4007	3618	3623
115	3381	4140	3746	3748
120	3502	4246	3871	3870
125	3619	4337	4000	3994
130	3761	4449	4130	4122
135	3908	4559	4262	4250
140	4073	4652	4383	4377
145	4250	4765	4493	4496
150	4331	4878	4594	4599
155	4417	4985	4688	4695
160	4503	5098	4791	4795
165	4603	5213	4896	4899
170	4693	5311	5000	4996
175	4790	5423	5110	5099
180	4900	5522	5220	5200
185	5028	5782	5365	5379
190	5172	6001	5571	5576
195	5327	6195	5756	5761
200	5478	6374	5949	5944
205	5670	6529	6139	6128
210	5878	6661	6332	6317
215	6135	6772	6515	6499
220	6478	6870	6677	6671
225	6567	7058	6792	6796
230	6656	7208	6915	6917
235	6752	7333	7048	7049
240	6876	7437	7173	7170
245	7012	7528	7299	7291
250	7148	7609	7419	7408
255	7374	7686	7534	7534
260	7489	8078	7691	7716
265	7582	8324	7870	7894
270	7703	8570	8066	8085
275	7833	8757	8252	8267
280	7984	8953	8436	8449
285	8139	9140	8626	8633
290	8296	9297	8823	8815
295	8476	9454	9040	8993
300	8592	9553	9125	9095
305	8684	9644	9214	9190
310	8783	9745	9301	9285
315	8877	9821	9393	9378
320	8982	9898	9486	9474
325	9100	9985	9578	9569
330	9209	10053	9673	9662
335	9324	10128	9768	9758
340	9443	10198	9861	9850
345	9579	10277	9963	9949
350	9688	10526	10110	10095
355	9804	10727	10246	10247
360	9939	10887	10386	10393
365	10078	11078	10530	10541
370	10190	11254	10687	10694
375	10339	11415	10832	10844
380	10498	11572	10985	10995
385	10643	11718	11142	11146
390	10756	11942	11286	11298
390.1	10757	11943	11288	11301
395	10865	12125	11426	11447
