depth	min	max	median	mean
2.5	33	983	377	409
7.5	542	1982	1203	1219
12.5	1245	2589	1990	1970
17.5	2430	3063	2800	2774
22.5	2787	4184	3280	3334
27.5	3118	4989	3756	3842
32.5	3441	5942	4241	4381
37.5	3824	6700	4685	4901
42.5	4221	7527	5090	5426
47.5	4597	8449	5525	5982
52.5	4999	9194	5917	6507
57.5	5473	9892	6316	7025
62.5	5969	10715	6709	7551
67.5	6693	11627	8040	8602
72.5	8003	12464	10012	10100
77.5	9840	13226	11710	11660
82.5	12013	13964	13354	13252
87.5	14024	14858	14354	14380
92.5	14451	15806	15005	15038
97.5	14929	16556	15655	15677
102.5	15460	17207	16306	16310
107.5	16066	17773	16959	16951
112.5	16775	18335	17618	17591
