depth	min	max	median	mean
0	-3	3	0	0
31	1513	3318	2347	2368
36	1816	3777	2747	2758
41	2173	4111	3147	3141
46	2548	4475	3540	3527
51	2934	4856	3925	3914
56	3341	5157	4324	4304
61	3759	5449	4694	4672
66	4165	5771	5082	5049
71	4627	6032	5470	5441
76	5224	6305	5856	5833
81	5897	6568	6230	6221
86	6236	7062	6637	6640
91	6592	7447	7067	7053
96	7037	7697	7490	7467
101	7254	8011	7675	7668
106	7419	8269	7845	7849
111	7597	8484	8028	8031
116	7768	8679	8203	8210
121	7945	8885	8390	8391
126	8090	9067	8570	8573
131	8281	9245	8752	8751
133.5	8368	9323	8841	8841
136	8457	9419	8927	8930
138.5	8538	9514	9016	9019
141	8622	9606	9106	9107
143.5	8724	9684	9193	9198
146	8839	9769	9282	9288
148.5	8953	9842	9371	9378
151	9064	9906	9457	9468
153.5	9161	9990	9541	9556
156	9277	10073	9622	9644
158.5	9419	10133	9705	9732
161	9551	10225	9809	9835
163.5	9642	10343	9923	9942
166	9728	10463	10034	10051
168.5	9825	10579	10150	10163
171	9929	10708	10265	10276
173.5	10071	10824	10367	10386
176	10208	10948	10492	10507
178.5	10291	11103	10619	10634
181	10373	11289	10744	10762
183.5	10449	11466	10872	10888
186	10527	11642	10993	11013
188.5	10619	11801	11122	11138
191	10711	11954	11245	11262
193.5	10794	12110	11365	11386
196	10897	12262	11485	11513
198.5	10992	12459	11610	11644
201	11080	12632	11741	11770
203.5	11193	12799	11864	11895
206	11278	12942	11987	12023
