depth	min	max	median	mean
0	-69	63	-21	-18
31	960	4037	2332	2383
36	1390	4310	2763	2785
41	1685	4700	3168	3182
46	1997	4951	3550	3563
51	2320	5381	3958	3939
56	2736	5597	4331	4298
61	3121	5875	4724	4659
66	3718	6007	5104	5030
71	4194	6217	5495	5408
76	5201	6342	5839	5813
81	5927	6613	6240	6238
86	6314	7041	6760	6736
91	6603	7561	7243	7198
96	7288	7697	7521	7517
101	7483	8270	7779	7809
106	7575	8540	7963	7991
111	7656	8936	8129	8172
116	7753	9115	8324	8351
121	7857	9345	8500	8531
126	8011	9497	8698	8718
131	8150	9717	8892	8903
133.5	8251	9779	8983	8993
136	8329	9861	9083	9082
138.5	8375	9947	9179	9172
141	8457	10033	9265	9261
143.5	8566	10089	9352	9348
146	8636	10161	9447	9436
148.5	8705	10253	9543	9523
151	8803	10355	9631	9610
153.5	8920	10417	9712	9696
156	9020	10484	9796	9781
158.5	9095	10568	9880	9866
161	9221	10654	9965	9953
163.5	9412	10701	10046	10040
166	9536	10763	10123	10128
168.5	9633	10846	10208	10215
171	9763	10937	10298	10310
173.5	9950	11012	10393	10418
176	10067	11113	10496	10525
178.5	10137	11249	10600	10632
181	10230	11419	10709	10749
183.5	10324	11635	10837	10879
186	10383	11929	10961	11010
188.5	10428	12294	11070	11141
191	10500	12558	11181	11271
193.5	10573	12718	11312	11398
196	10635	12887	11440	11525
198.5	10684	13123	11557	11653
201	10761	13348	11673	11780
203.5	10852	13510	11801	11908
206	10926	13720	11935	12036
